District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Kolar,Gulpet PS,0030/2024,1,2024,3,2024-03-06 09:30:00.000,2024-03-06 13:50:00.000,2024-03-08 17:30:00.000,08/03/2024,Non Heinous,Under Investigation,Written,THEFT,Of Automobiles - Of Two Wheelers,13.133199,78.173295,IPC 1860 U/s: 379 ,VENKATESHA.L.   (HC),1405661,,81900017,"In front of R.L.Jalappa hospital, In front of R.L.Jalappa hospital",6 Km east from P.S.,5 Beat,Tamaka,1,0,0,0,0,0,0,0,0,0,0,0,2024000059,806,10457080620240030,-1
Kolar,Malur PS,0074/2019,1,2019,4,2019-03-25 23:30:00.000,2019-03-26 05:00:00.000,2019-04-11 10:45:00.000,11/04/2019,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Two Wheelers,12.999845,77.9421369,IPC 1860 U/s: 379 ,RANGALAKSHMI N   (PSI),1150832,,80600024,"SLV Layout, SLV Layout",2/1 KM West TO PS,Town Beat  1,Masthi circle Hosur road,0,0,0,0,0,0,1,0,0,0,0,0,2019000158,811,10457081120190074,-1
Kolar,Gulpet PS,0116/2023,1,2023,11,2023-11-20 21:30:00.000,2023-11-21 06:00:00.000,2023-11-28 11:00:00.000,28/11/2023,Non Heinous,Under Investigation,Written,THEFT,Of Automobiles - Of Two Wheelers,13.143058,78.132651,IPC 1860 U/s: 379 ,VENKATESHA.L.   (HC),1405661,,81900017,"1st cross, Vinayaka nagar, 1st cross, Vinayaka nagar",1 km east from P.S.,1 Beat,Rahamathnagar,1,0,0,0,0,0,0,0,0,0,0,0,2023000198,806,10457080620230116,-1
Kolar,Mulbagal Town PS,0007/2024,1,2024,1,2024-01-12 10:15:00.000,2024-01-12 11:15:00.000,2024-01-12 13:00:00.000,12/01/2024,Non Heinous,Under Investigation,Written,THEFT,Of Automobiles - Of Two Wheelers,13.149047,78.370263,IPC 1860 U/s: 379 ,SHIVAKUMAR H M   (PI),2289421,,28900464,"TAULK OFFICE COMPOUND, TAULK OFFICE COMPOUND",1.5 KM  NORTH  FROM PS,03,KURUBARAPET,0,0,0,0,0,0,0,0,0,0,0,0,2024000007,815,10457081520240007,-1
Kolar,Malur PS,0105/2021,1,2021,4,2020-12-06 22:00:00.000,2020-12-07 07:00:00.000,2021-04-19 17:00:00.000,19/04/2021,Non Heinous,Undetected,,THEFT,Of Automobiles - Of Two Wheelers,12.996708,77.936309,IPC 1860 U/s: 379 ,RANGALAKSHMI N   (PSI),1150832,,80600024,"RS Post office road Adarsha nagra, RS Post office road Adarsha nagra",0.5 kms ps to east,Town Beat  1,Masthi circle Hosur road,1,0,0,0,0,0,1,0,0,0,0,0,2021000125,811,10457081120210105,-1
Kolar,Mulbagal Town PS,0159/2023,1,2023,12,2023-12-02 04:00:00.000,2023-12-02 15:20:00.000,2023-12-25 11:20:00.000,25/12/2023,Non Heinous,Under Investigation,Written,THEFT,Of Automobiles - Of Two Wheelers,13.16462,78.395837,IPC 1860 U/s: 379 ,SHIVAKUMAR H M   (PI),2289421,,28900464,"NETHAJI STEDIAM, NETHAJI STEDIAM",1 KM NORTH EAST TO PS,07,BUS STAND,0,0,0,0,0,0,0,0,0,0,0,0,2023000254,815,10457081520230159,-1
Kolar,Malur PS,0131/2019,1,2019,5,2019-05-16 00:00:00.000,2019-05-17 00:05:00.000,2019-05-31 15:30:00.000,31/05/2019,Non Heinous,Dis/Acq,Written,THEFT,Of Automobiles - Of Two Wheelers,13.002722,77.934634,IPC 1860 U/s: 379 ,RANGALAKSHMI N   (PSI),1150832,,80600024,"MATAN MARKET, MATAN MARKET",200 MTRS TOWARDS WEST TO PS,Town Beat  4,Malur Hosur Road. Near BEO Office,0,0,0,0,0,0,1,0,0,0,1,0,2019000222,811,10457081120190131,-1
Kolar,Kolar Town PS,0204/2023,1,2023,10,2023-10-23 15:00:00.000,2023-10-23 16:00:00.000,2023-10-24 16:00:00.000,24/10/2023,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Two Wheelers,13.121321,78.129375,IPC 1860 U/s: 379 ,JAGANNATH K C   (ASI),1489087,,81100036,"Tekal Main Road, Near Bypas, Tekal Main Road, Near Bypas",2 Kms South to ps,3,P.C.Extention,1,0,0,0,0,0,0,0,0,0,0,0,2023000307,805,10457080520230204,-1
Kolar,Gulpet PS,0152/2021,1,2021,12,2021-12-10 19:30:00.000,2021-12-11 08:00:00.000,2021-12-12 16:30:00.000,12/12/2021,Non Heinous,Compounded,Written,THEFT,Of Automobiles - Of Two Wheelers,13.135715,78.16828,IPC 1860 U/s: 379 ,Arungoud  Patil (PSI),2900268,,80600058,"Jeevitha towers Kuda lay out, Jeevitha towers Kuda lay out",5 KMS East To PS,5 Beat,Tamaka,0,1,0,0,0,0,2,2,0,2,4,0,2021000202,806,10457080620210152,-1
Kolar,Malur PS,0172/2022,1,2022,3,2021-12-30 06:30:00.000,2021-12-30 08:15:00.000,2022-03-31 11:00:00.000,31/03/2022,Non Heinous,Pending Trial,Written,THEFT,Of Automobiles - Of Two Wheelers,12.898256,77.867402,IPC 1860 U/s: 379 ,ASHOKA B V   (HC),1953275,,80700037,"Opp Honda Stadium Malur Town, Opp Honda Stadium Malur Town",250 Mtrs South To PS,Town Beat  4,Malur Hosur Road. Near BEO Office,1,0,0,0,0,0,0,0,0,0,3,0,2022000191,811,10457081120220172,-1
