District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Koppal,Gangavathi Rural PS,0118/2021,1,2021,4,2021-04-07 13:00:00.000,2021-04-07 13:01:00.000,2021-04-08 01:30:00.000,08/04/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.353068,76.472799,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181(3),5 ",PRAKASH UMACHAGI   (ASI),1781637,,117600032,"Anegundi Hulagi road Near Anjanadri Temple, Anegundi Hulagi road Near Anjanadri Temple",Ps to 15 Km south,01,Anegundi,1,1,0,0,0,0,2,0,0,0,2,2,2021000145,1171,10468117120210118,-1
Koppal,Gangavathi Traffic PS,0031/2023,1,2023,11,2023-11-26 15:20:00.000,2023-11-26 15:21:00.000,2023-11-27 16:30:00.000,27/11/2023,Non Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.438617,76.526596,"IPC 1860 U/s: 338,337,279 ",RAVEENDRA   (HC),1671340,,188800107,"NEAR KAVERI HOTEL ISLAMPUR, NEAR KAVERI HOTEL ISLAMPUR",2 KM NORTH FROM PS,BEAT 5,Koppal Road,0,1,0,0,0,0,1,1,0,1,1,0,2023000031,1169,10468116920230031,-1
Koppal,Karatagi PS,0089/2021,1,2021,4,2021-04-20 09:30:00.000,2021-04-20 09:31:00.000,2021-04-20 19:20:00.000,20/04/2021,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.594702,76.676979,IPC 1860 U/s: 279 ,Mallappa   (PSI),1981685,,117200037,"Devicamp-Karatagi Road Near 31 sub canal Pool, Devicamp-Karatagi Road Near 31 sub canal Pool",03 KM East away from PS,BEAT 2,KARATAGI,1,0,0,0,0,0,1,1,0,1,1,0,2021000101,1172,10468117220210089,-1
Koppal,Karatagi PS,0259/2022,1,2022,12,2022-12-24 18:30:00.000,2022-12-24 18:31:00.000,2022-12-25 21:10:00.000,25/12/2022,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.630555,76.68213,"IPC 1860 U/s: 338,337,279 ",REVAPPA N.S.   (ASI),1783546,,115800039,"Karatagi Channalli Road Near Railway Bridge, Karatagi Channalli Road Near Railway Bridge",04 KM North Away From PS,BEAT 2,KARATAGI,3,0,0,0,0,0,1,1,0,1,1,0,2022000359,1172,10468117220220259,-1
Koppal,Karatagi PS,0038/2024,1,2024,2,2024-02-15 11:20:00.000,2024-02-15 11:21:00.000,2024-02-18 13:00:00.000,18/02/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.499534,76.749147,"IPC 1860 U/s: 338,337,279 ",CHILKURI GANGADHAR R   (HC),1784327,,116800015,"Bennur village Near Water Filter, Bennur village Near Water Filter",15KM PS FROM WEST,Beat 27,Bennur Villlage,2,0,0,0,0,0,1,0,0,0,0,0,2024000061,1172,10468117220240038,-1
Koppal,Munirabad PS,0197/2019,1,2019,10,2019-10-19 19:00:00.000,2019-10-19 19:10:00.000,2019-10-21 20:30:00.000,21/10/2019,Non Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.325171,76.319614,"IPC 1860 U/s: 337,279 ",LINGARAJ OJANALLI   (HC),1783637,,116300015,"Hitnal-Gangavati Road, Hitnal-Gangavati Road",12 KM North from PS,BEAT 10,AGALAKERA,1,0,0,0,0,0,1,0,0,0,1,0,2019000256,1162,10468116220190197,-1
Koppal,Koppal Rural PS,0270/2022,1,2022,10,2022-10-24 12:00:00.000,2022-10-24 12:05:00.000,2022-10-26 20:00:00.000,26/10/2022,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.545841,76.308493,"IPC 1860 U/s: 338,337,279 ",BASANGOUDA C   (HC),1783377,,116400005,"ON GANGANAL-CHIKKSULIKERI  ROAD, ON GANGANAL-CHIKKSULIKERI  ROAD",TOWARDS NORTH 30KM FROM P.S,Beat 7,CHIKKA SULIKERA,2,0,0,0,0,0,1,0,0,0,1,0,2022000397,1159,10468115920220270,-1
Koppal,Yelburga PS,0011/2020,1,2020,1,2020-01-27 16:00:00.000,2020-01-27 16:01:00.000,2020-01-27 20:10:00.000,27/01/2020,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.59575,75.919431,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181 ",SANNABASAPPA   (ASI),1099805,,116200029,"Near Kalakappa Balakundi Field, Near Kalakappa Balakundi Field",Towards West 10 K.M from PS,7,Gedigera,3,0,0,0,0,0,5,1,0,1,3,0,2020000014,1163,10468116320200011,-1
Koppal,Gangavathi Rural PS,0124/2022,1,2022,4,2022-04-21 13:20:00.000,2022-04-21 13:21:00.000,2022-04-21 16:00:00.000,21/04/2022,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.491777,76.509349,"IPC 1860 U/s: 338,279 ",SHASHIDHAR RONAD   (ASI),1103213,,116200034,"Herur Bus Stand (Gangavathi-Kanakagiri Road), Herur Bus Stand (Gangavathi-Kanakagiri Road)",10 kms towards Norh from PS,06,Marakumbi,0,1,0,0,0,0,1,1,0,1,1,0,2022000237,1171,10468117120220124,-1
Koppal,Kuknoor PS,0008/2024,1,2024,1,2024-01-14 18:30:00.000,2024-01-14 18:31:00.000,2024-01-17 19:50:00.000,17/01/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.411855,76.060713,"IPC 1860 U/s: 338,337,279 ",GURURAJ T   (PSI),3093107,,150700062,"Veerapur-Bhanapur On Road, Near Lake, Veerapur-Bhanapur On Road, Near Lake",14 KM Towards South,Village Beat 10,KOMALAPUR,1,2,0,0,0,0,1,0,0,0,0,0,2024000010,1164,10468116420240008,-1
