District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Chikkamagaluru,Chickmagalur Rural  PS,0059/2022,1,2022,2,2022-02-20 09:30:00.000,2022-02-20 09:31:00.000,2022-02-20 17:30:00.000,20/02/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.293371,75.769755,"IPC 1860 U/s: 279,337,304(A) ",SACHIN KUMAR   (PI),1937614,,23200006,"Near Hadihalli Lake, Hadihalli Village, Near Hadihalli Lake, Hadihalli Village",12 km towards south from ps,BEAT NO 09,HADIHALLI,2,0,0,0,0,0,1,0,0,0,1,0,2022000078,454,10448045420220059,-1
Mangaluru City,Traffic South Police Station,0235/2019,1,2019,7,2019-07-22 08:30:00.000,2019-07-22 08:31:00.000,2019-07-22 16:00:00.000,22/07/2019,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.819145,74.841464,"IPC 1860 U/s: 279,304(A) ",GURUDATH KAMATH   (PI),184297,,166300010,"NEAR ABBAKKA CIRCLE, NEAR ABBAKKA CIRCLE",SOUTH 8 K M,1 ULLLAL PS LIMITS,VAMANJOOR,1,0,0,0,0,0,1,1,0,1,1,0,2019000235,2172,10980217220190235,4
Belagavi Dist,Bailahongal PS,0094/2021,1,2021,4,2021-04-10 17:30:00.000,2021-04-10 17:31:00.000,2021-04-12 10:15:00.000,12/04/2021,Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15.765412,74.78696,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,177,181,129,5,3,146 ",SATHENAHALLI.U.H   (PI),167076.0,,11100029,"Bevinkoppa-Neginal Road Neginal Village Limits, Bevinkoppa-Neginal Road Neginal Village Limits",Towards to south 12 km,z,NEGINAHAL,1,0,0,0,0,0,2,0,0,0,2,1,2021000143,1464,10444146420210094,-1
Chikkamagaluru,Mallanduru PS,0014/2022,1,2022,4,2022-04-20 18:00:00.000,2022-04-20 18:10:00.000,2022-04-22 21:00:00.000,22/04/2022,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.434746,75.671703,"IPC 1860 U/s: 279,304A ",K.SATHYANARAYANA   (PI),1074630.0,,45000004,"Prabhakhan Estate, Prabhakhan Estate",40 Km Towards East,Beat No 31,Kattehole,1,0,0,0,0,0,0,0,0,0,1,0,2022000019,1891,10448189120220014,-1
Bengaluru City,Halasur Gate Traffic PS,0020/2021,1,2021,7,2021-07-31 19:30:00.000,2021-07-31 19:40:00.000,2021-07-31 20:15:00.000,31/07/2021,Non Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.964004,77.582265,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3(1),180,181,5 ",BALAKRISHNARAJU H R   (PI),757037,,162000065,"SJP ROAD NEAR KAPIL TEA SHOP, SJP ROAD NEAR KAPIL TEA SHOP",TOWARDS SOUTH 1 KMS FROM PS,SILVER JUBILI ROAD,SILIVER JUBILI ROAD,1,0,0,0,0,0,1,2,0,2,2,0,2021000020,1769,10443176920210020,0
Dakshina Kannada,Punjalkatte PS,0100/2020,1,2020,12,2020-12-02 08:15:00.000,2020-12-02 08:16:00.000,2020-12-02 17:00:00.000,02/12/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.936504,75.184112,"IPC 1860 U/s: 279,304(A),338 ",SOWMYA Jappinamogaru  (WPSI),2295537,,192600008,"Near Nadubottu Temple Gate, Near Nadubottu Temple Gate",4 KM Towards East,0,Kuvettu,1,1,0,0,0,0,1,1,0,1,1,0,2020000178,1926,10463192620200100,-1
Bagalkot,Kerur PS,0198/2019,1,2019,12,2019-12-28 19:45:00.000,2019-12-28 19:46:00.000,2019-12-29 11:00:00.000,29/12/2019,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.058597,75.597458,"IPC 1860 U/s: 279,337,338,304(A) ",RAMESH H HANAPUR   (PI),1898679,,105400030,"Agasanakoppa-Jammanakatti Road Near Jammanakatti,, Agasanakoppa-Jammanakatti Road Near Jammanakatti,",North 10 Km From PS,RURALBEAT3,SULIKERI,2,0,0,0,0,0,1,0,0,0,1,0,2019000302,1247,10470124720190198,-1
Belagavi Dist,Kagwad PS,0131/2023,1,2023,7,2023-07-20 15:30:00.000,2023-07-20 15:31:00.000,2023-07-20 17:30:00.000,20/07/2023,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.655769,74.791097,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",M B Biradar   (PSI),3191825,,146000053,"UGAR BK VILLAGE LIMITS UGAR- SHEDABAL ROAD, UGAR BK VILLAGE LIMITS UGAR- SHEDABAL ROAD",TOWARDS 6 KMS EAST FROM PS,10 UGAR BK,MANGAVATI VILLAGE,1,0,0,0,0,0,0,0,0,0,0,0,2023000177,1486,10444148620230131,-1
Uttara Kannada,Karwar Rural PS,0034/2019,1,2019,5,2018-12-16 18:29:00.000,2018-12-16 18:30:00.000,2019-05-29 19:15:00.000,29/05/2019,Non Heinous,False Case,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,14.811255,74.159334,"IPC 1860 U/s: 279,338,304(A) ",SANTOSH VISHRAM NAGEKAR (ASI),1198796,,168000051,"NEAR SADA ANAND HALL SHEJWAD, NEAR SADA ANAND HALL SHEJWAD",TOWARDS 5 KM EAST,BEAT 3,MEKHERI,2,0,0,0,0,0,1,0,0,0,0,0,2019000069,927,10460092720190034,-1
Chickballapura,Dibburahalli PS,0006/2024,1,2024,1,2024-01-27 18:00:00.000,2024-01-27 18:30:00.000,2024-01-28 10:00:00.000,28/01/2024,Heinous,Transfered :UI( Shidlaghatta Circle),Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.636502,77.970117,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SRINIVASA M   (PI),1369712,,95800267,"Dibburahalli Talakayalabetta Road, Dibburahalli Talakayalabetta Road",3 Kns East To PS,BEAT 05,VADDANHALLY,1,0,0,0,0,0,0,0,0,0,0,0,2024000016,832,10976083220240006,-1
