District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Hassan,Banavara PS,0062/2020,1,2020,5,2020-05-23 07:30:00.000,2020-05-23 07:40:00.000,2020-05-23 20:30:00.000,23/05/2020,Heinous,Pending Trial,Written,MURDER,Civil Disputes,13.479096,76.323815,"IPC 1860 U/s: 506,504,307,302 ",VASANTHA K M   (PI),1844165,,162400007,"INFROUNT OF COMPLAINANT HOUSE, INFROUNT OF COMPLAINANT HOUSE",30 KMS TOWARDS EAST,New Village Beat 23,Dibburu,1,1,0,0,0,0,1,1,0,1,1,0,2020000079,739,10455073920200062,-1
Belagavi Dist,Gokak Town PS,0027/2023,1,2023,2,2023-02-10 20:30:00.000,2023-02-10 20:31:00.000,2023-02-13 14:15:00.000,13/02/2023,Heinous,Pending Trial,Sue-moto by Police,MURDER,Civil Disputes,16.162601,74.815745,"IPC 1860 U/s: 364,302,201,120B,149 INDIAN ARMS ACT, 1959 U/s: 25 IPC 1860 U/s: 341 ",PRAKASH R. YATANOOR   (PI),2282157,,158900511,"Near Yogikoll Gokak, Near Yogikoll Gokak",West 02 Km,BEAT NO 5,CHANAMMA NAGAR,1,0,0,0,0,0,5,5,0,5,5,0,2023000043,323,10444032320230027,-1
Vijayapur,Almel PS,0078/2019,1,2019,7,2019-07-29 21:00:00.000,2019-07-29 21:01:00.000,2019-07-30 12:15:00.000,30/07/2019,Heinous,False Case,Written,MURDER,Civil Disputes,17.000176,76.248808,"IPC 1860 U/s: 302,149 ",SATHISH KUMAR KAMBLE  (PI),1898713.0,,98300027,"Villege of Babaleshwar in Complainant Land, Villege of Babaleshwar in Complainant Land",Towards South 12 KM From PS,NEW BEAT NO 13,Babalesvar,1,0,0,0,0,0,5,4,0,4,0,0,2019000161,1511,10447151120190078,-1
Raichur,Maski PS,0103/2021,1,2021,6,2021-06-21 18:30:00.000,2021-06-21 21:00:00.000,2021-06-22 15:45:00.000,22/06/2021,Heinous,Pending Trial,Others,MURDER,Civil Disputes,15.972278,76.608929,"IPC 1860 U/s: 302,109,34,306,504 ",SANJEEV S BALIGAR   (PI),1898637,,42000030,"MASKI-VENKATAPUR MARALADINNI CENAL, MASKI-VENKATAPUR MARALADINNI CENAL",TOWARDS NORTH 08 KM FROM PS,V Beat 4,Belladamaradi,1,0,0,0,0,0,4,3,0,3,3,0,2021000134,989,10461098920210103,-1
Hassan,Arehalli PS,0030/2024,1,2024,2,2024-02-27 09:30:00.000,2024-02-27 09:45:00.000,2024-02-27 14:10:00.000,27/02/2024,Heinous,Transfered :UI( Halebeedu Circle),Oral,MURDER,Civil Disputes,13.054638,75.783158,"IPC 1860 U/s: 302,307,34 ",JAYARAM S N   (PI),2008835,,49000005,"SURVEY NO 103 GOORGIHALLI VILLAGE, SURVEY NO 103 GOORGIHALLI VILLAGE",WEST ABOUT 05 KM,2022 NEW BEAT 02,Murehally,3,0,0,0,0,0,3,2,1,3,0,0,2024000047,753,10455075320240030,-1
Bidar,Bemalkhed PS,0051/2021,1,2021,10,2021-10-25 16:30:00.000,2021-10-25 16:45:00.000,2021-10-25 19:30:00.000,25/10/2021,Heinous,Pending Trial,Oral,MURDER,Civil Disputes,17.660683,77.352051,"IPC 1860 U/s: 504,143,147,148,149,307,323,324,141,302,201 ",Maheshgouda.G.Patil   (PI),1898610,,158900401,"Near Complainant House, Near Complainant House",12 Km West From the Ps,BEAT 10,BASHIRAPUR VILLAGE,2,0,0,0,0,0,6,5,0,5,6,0,2021000061,383,10446038320210051,-1
Bagalkot,Jamakhandi Rural PS,0009/2020,1,2020,1,2020-01-12 20:30:00.000,2020-01-13 06:00:00.000,2020-01-13 15:30:00.000,13/01/2020,Heinous,False Case,Written,MURDER,Civil Disputes,16.481451,75.399281,"IPC 1860 U/s: 143,147,302,201,149 ",D.K.Patil   (PI),1898661,,31100010,"LINGANUR COMPLAINANT FARM, LINGANUR COMPLAINANT FARM",EAST 20 KM FROM PS,BEAT 7,CHINAGUNDI,1,0,0,0,0,0,5,0,0,0,0,0,2020000011,1251,10470125120200009,-1
Bengaluru City,Kalasipalya PS,0056/2016,1,2016,3,2016-03-30 20:00:00.000,2016-03-30 20:20:00.000,2016-03-30 21:00:00.000,30/03/2016,Heinous,Pending Trial,Written,MURDER,Civil Disputes,12.9626,77.5799,"IPC 1860 U/s: 302,364,149,120B ",PRAKASH R   (ACP),1962655,,143000051,"NEAR THE  TIMBER  ASSOCIATION, NEAR THE  TIMBER  ASSOCIATION",TOWARDS 1 KM EAST,BEAT 3,BAMBOO BAZAAR,1,0,0,0,0,0,8,6,0,6,8,0,2016000074,1431,10443143120160056,-1
Mandya,Bindiganavile PS,0115/2023,1,2023,11,2023-11-04 14:15:00.000,2023-11-04 14:20:00.000,2023-11-04 18:00:00.000,04/11/2023,Heinous,Pending Trial,Written,MURDER,Civil Disputes,12.820819,76.597336,"IPC 1860 U/s: 504,323,302 ARMS ACT, 1959 U/s: 27,25,27(3) ",B R GOWDA   (PI),2153899,,176900092,"Accused Kumar Farm House, Hanumanahalli Village, Accused Kumar Farm House, Hanumanahalli Village",Towards 15 KM,NEW BEAT 17,Hanumanahalli village,1,0,0,0,0,0,1,1,0,1,2,0,2023000141,866,10458086620230115,-1
Shivamogga,Holehonnur PS,0044/2023,1,2023,2,2023-02-24 05:00:00.000,2023-02-24 05:05:00.000,2023-02-24 17:00:00.000,24/02/2023,Heinous,Under Investigation,Written,MURDER,Civil Disputes,13.956509,75.745842,"IPC 1860 U/s: 506,34,504,323,302 ",BALACHANDRA NAIK   (PI),1635947,,49300041,"Near Chanal Marashettihalli village, Near Chanal Marashettihalli village",East 12 K M,BEAT 5,HULIMATTA CAMP,1,0,0,0,0,0,5,0,0,0,0,0,2023000065,1019,10462101920230044,-1
