District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mangaluru City,E and N Crime PS Mangaluru City,0061/2019,1,2019,11,2015-01-01 00:00:00.000,2016-10-16 00:00:00.000,2019-11-13 17:30:00.000,13/11/2019,Non Heinous,False Case,Written,CHEATING,CHEATING,12.869254,74.843713,"IPC 1860 U/s: 406,417,420,34 ",LATHA K N   (PSI),1293658.0,,166200044,"Syndicate Bank Mangalore,, Syndicate Bank Mangalore,",5 KM From PS,Beat 1,URWA,0,0,0,0,0,0,4,0,0,0,0,0,2019000061,2164,10980216420190061,0
Mangaluru City,Ullal PS,0014/2021,1,2021,1,2020-10-30 00:00:00.000,2020-12-09 00:00:00.000,2021-01-27 22:45:00.000,27/01/2021,Non Heinous,Pending Trial,Written,CHEATING,CHEATING,12.816787,74.846067,"IPC 1860 U/s: 420,406 ",BALAKRISHNA H N   (PI),1966682,,85800025,"Jagrata Multipurpose Cooperative Society, Jagrata Multipurpose Cooperative Society",8 KM Towards South,4,TALAPADY,0,1,0,0,0,0,1,1,0,1,1,0,2021000018,1059,10980105920210014,0
Mangaluru City,Mangalore North PS,0089/2021,1,2021,9,2015-07-27 00:00:00.000,2021-09-16 19:30:00.000,2021-09-16 19:30:00.000,16/09/2021,Non Heinous,False Case,Written,CHEATING,CHEATING,12.864201,74.833629,"IPC 1860 U/s: 406,420,468,471,34 ",VANAJAKSHI K   (PSI),1234346.0,,104500018,"NOT KNOWN, NOT KNOWN",NOT KNOWN,Beat 4,Kodiyalbail,1,0,0,0,0,0,3,0,0,0,0,0,2021000153,1041,10980104120210089,0
Mangaluru City,Kavoor PS,0108/2023,1,2023,10,2017-08-31 10:00:00.000,2023-10-18 10:00:00.000,2023-10-18 11:00:00.000,18/10/2023,Non Heinous,Under Investigation,Written,CHEATING,CHEATING,12.922229,74.85943,"IPC 1860 U/s: 406,420,506 ",VEERABADRA   (HC),1941218.0,,104300053,"KULUR-KAVOOR ROAD, KULUR-KAVOOR ROAD",04 KM FROM PS,Beat 3,Panjimogaru,0,1,0,0,0,0,1,0,0,0,0,0,2023000233,1052,10980105220230108,0
Mangaluru City,Moodabidre PS,0195/2021,1,2021,6,2020-11-07 10:00:00.000,2020-11-11 10:01:00.000,2021-06-04 14:00:00.000,04/06/2021,Non Heinous,False Case,Judicial/Magistrate reference,CHEATING,CHEATING,13.064723,75.01492,"IPC 1860 U/s: 406,420,34 ",DINESH KUMAR.B.S   (PI),1962626,,107701719,"Near Mahaveera College VIdyanagara, Near Mahaveera College VIdyanagara",1.5 Km Towards East-North From PS,BEAT 1,PRANTHYA,1,0,0,0,0,0,1,0,0,0,0,0,2021000228,1069,10980106920210195,-1
Mangaluru City,Mulki PS,0142/2021,1,2021,12,2018-06-15 00:00:00.000,2021-11-12 00:00:00.000,2021-12-25 11:00:00.000,25/12/2021,Non Heinous,Pending Trial,Judicial/Magistrate reference,CHEATING,CHEATING,13.075516,74.801622,"IPC 1860 U/s: 34,420,447,341,448 ",MARUTHI P   (PSI),2948234,,194300694,"D No 19-173/1A, Site, D No 19-173/1A, Site",South East 4 KM,Beat 1,BAPPANADU,1,0,0,0,0,0,2,1,0,1,2,0,2021000251,1068,10980106820210142,-1
Mangaluru City,E and N Crime PS Mangaluru City,0059/2019,1,2019,10,2019-04-30 10:00:00.000,2019-08-21 16:00:00.000,2019-10-22 10:30:00.000,22/10/2019,Non Heinous,False Case,Written,CHEATING,CHEATING,12.862278,74.836421,"IPC 1860 U/s: 420,465,468,471,419,406,34 ",KRISHNA.B   (PSI),1232374.0,,68200292,"CANARA BANK,, CANARA BANK,",2 KM FROM PS,Beat 1,URWA,0,0,0,0,0,0,7,2,1,3,0,0,2019000059,2164,10980216420190059,0
Mangaluru City,Mangalore Rural PS,0037/2023,1,2023,6,2013-09-25 00:00:00.000,2023-06-23 00:00:00.000,2023-06-23 20:00:00.000,23/06/2023,Non Heinous,Pending Trial,Written,CHEATING,CHEATING,12.918352,74.915246,"IPC 1860 U/s: 406,420,34 ",KAMALA H   (PSI),998146.0,,104100029,"Devasa Near Amrutheshwara Temple, Devasa Near Amrutheshwara Temple",Towards 1Km East,Beat 2,Malluru,1,0,0,0,0,0,3,0,0,0,1,0,2023000084,1056,10980105620230037,0
Mangaluru City,E and N Crime PS Mangaluru City,0036/2020,1,2020,10,2018-12-10 00:01:00.000,2020-01-27 23:00:00.000,2020-10-09 19:30:00.000,09/10/2020,Non Heinous,Under Investigation,Written,CHEATING,CHEATING,12.871764,74.844782,"IPC 1860 U/s: 420,406 ",RAMAKRISHNA K.K   (PI),1170927.0,,104200049,"Mangalore City, Mangalore City",Around 5 KM From PS,Beat 1,URWA,0,0,0,0,0,0,1,1,0,1,0,0,2020000036,2164,10980216420200036,0
Mangaluru City,Mulki PS,0034/2021,1,2021,3,2020-10-11 14:15:00.000,2020-10-11 14:20:00.000,2021-03-17 15:30:00.000,17/03/2021,Non Heinous,Undetected,Written,CHEATING,CHEATING,13.094648,74.801346,IPC 1860 U/s: 420 ,VINAYAK  TORGAL (PSI),2636833,,194300447,"Near Kolnad Junction, Near Kolnad Junction",South 3 KM,Beat 1,BAPPANADU,1,0,0,0,0,0,0,0,0,0,0,0,2021000054,1068,10980106820210034,-1
Mangaluru City,Ullal PS,0094/2019,1,2019,8,2019-07-29 11:00:00.000,2019-07-29 12:00:00.000,2019-08-24 11:45:00.000,24/08/2019,Non Heinous,Pending Trial,Written,CHEATING,CHEATING,12.767903,74.868712,"IPC 1860 U/s: 406,420 ",PRADEEP T R   (PSI),2636663,,194300445,"Bank of India Kulai Branch and Money Transfer, Bank of India Kulai Branch and Money Transfer",10 km towards South,4,TALAPADY,1,0,0,0,0,0,1,1,0,1,1,0,2019000359,1059,10980105920190094,0
Mangaluru City,Urva PS,0013/2024,1,2024,2,2010-07-02 00:00:00.000,2023-09-05 18:23:00.000,2024-02-09 17:30:00.000,09/02/2024,Non Heinous,False Case,Written,CHEATING,CHEATING,12.896298,74.836123,"IPC 1860 U/s: 417,420 ",BHARATHI G   (PI),1872089,,106900021,"2 nd Floor, Reliance Building, 2 nd Floor, Reliance Building",1.5 Km south from PS,Beat 2,Derebail,0,1,0,0,0,0,1,0,0,0,0,0,2024000018,1046,10980104620240013,0
Mangaluru City,Mangalore North PS,0067/2022,1,2022,8,2022-07-25 21:00:00.000,2022-08-01 13:30:00.000,2022-08-01 14:00:00.000,01/08/2022,Non Heinous,False Case,Written,CHEATING,CHEATING,12.933148,74.81968,"IPC 1860 U/s: 406,420 ",MANJULA   (PSI),2194288.0,,137400048,"PANAMBUR BUNDER, PANAMBUR BUNDER",PANAMBUR PS LIMITS,beat 5,Kodiyalbail,1,0,0,0,0,0,2,0,0,0,0,0,2022000136,1041,10980104120220067,0
Mangaluru City,Kankanady Town PS,0066/2019,1,2019,6,2017-01-01 00:00:00.000,2019-06-27 16:00:00.000,2019-06-27 16:00:00.000,27/06/2019,Non Heinous,Under Investigation,Judicial/Magistrate reference,CHEATING,CHEATING,12.912124,74.869908,"IPC 1860 U/s: 420,409,506,507 ",SHOBHA   (PSI),1385019.0,,104700030,"Mangala Cashew Industries, Mangala Cashew Industries",6 km,II nd Beat,PADAVU,0,0,0,0,0,0,0,0,0,0,1,0,2019000252,2171,10980217120190066,0
Mangaluru City,Mangalore North PS,0003/2024,1,2024,1,2024-01-02 12:30:00.000,2024-01-04 18:00:00.000,2024-01-06 18:30:00.000,06/01/2024,Non Heinous,Under Investigation,Written,CHEATING,CHEATING,12.868726,74.838828,"IPC 1860 U/s: 406,420 ",MANJULA   (PSI),2194288.0,,137400048,"NEAR GHS CROSS ROAD PRAGATHI JEWELLERS SHOP, NEAR GHS CROSS ROAD PRAGATHI JEWELLERS SHOP",1.5 KM,Beat 1,Kasaba Bazar,1,0,0,0,0,0,1,0,0,0,0,0,2024000003,1041,10980104120240003,0
Mangaluru City,Mangalore South PS,0156/2019,1,2019,7,2010-11-16 00:00:00.000,2018-03-13 00:01:00.000,2019-07-03 21:00:00.000,03/07/2019,Non Heinous,False Case,Judicial/Magistrate reference,CHEATING,CHEATING,12.86488,74.84079,"IPC 1860 U/s: 403,406,417,418,420,423,426,464,465,467,468,471,474,120B,34 ",manoharaprasad p   (PSI),2948235.0,,194300691,"Sub Rigister Office, Sub Rigister Office",1 Km Towards West North,BEAT 2,ATTAVAR,0,1,0,0,0,0,5,0,0,0,0,0,2019000282,1042,10980104220190156,0
Mangaluru City,Mangalore South PS,0033/2024,1,2024,2,2022-05-28 08:00:00.000,2023-03-09 20:00:00.000,2024-02-15 10:00:00.000,15/02/2024,Non Heinous,Under Investigation,Written,CHEATING,CHEATING,12.866311,74.833335,"IPC 1860 U/s: 417,420,406,403 ",manoharaprasad p   (PSI),2948235.0,,194300691,"Azazuddin Road, Azazuddin Road",1 KM FROM SOUTH PS,BEAT 5,OTHERS,1,0,0,0,0,0,1,0,0,0,0,0,2024000058,1042,10980104220240033,0
Mangaluru City,Kankanady Town PS,0128/2019,1,2019,12,2009-01-01 00:00:00.000,2019-12-29 00:00:00.000,2019-12-30 20:05:00.000,30/12/2019,Non Heinous,False Case,Written,CHEATING,CHEATING,12.86902,74.864302,"IPC 1860 U/s: 406,417,420,120B,34 ",SUNDAR RAJ   (PSI),1234088.0,,104500013,"Pumpwel Flyover, Pumpwel Flyover",1 km,BEAT 3,NAGURI,1,0,0,0,0,0,4,0,0,0,0,0,2019000367,2171,10980217120190128,0
Mangaluru City,Barke PS,0095/2023,1,2023,11,2021-09-03 00:00:00.000,2023-03-10 23:00:00.000,2023-11-28 12:15:00.000,28/11/2023,Non Heinous,Under Investigation,Judicial/Magistrate reference,CHEATING,CHEATING,12.885954,74.827602,"IPC 1860 U/s: 471,468,467,465,420,419,406 ",REKHA   (PSI),2639077.0,,194300612,"Global Multi Speciality Hospital Pvt Ltd Building, Global Multi Speciality Hospital Pvt Ltd Building",Towards West 2 KM From the PS,Beat 1,Boloor,1,0,0,0,0,0,1,0,0,0,0,0,2023000156,1045,10980104520230095,0
Mangaluru City,CEN Crime PS Mangaluru City,0014/2024,1,2024,2,2017-10-16 00:00:00.000,2023-11-08 00:00:00.000,2024-02-03 13:30:00.000,03/02/2024,Non Heinous,Under Investigation,Written,CHEATING,CHEATING,12.808964,74.79059,"IPC 1860 U/s: 406,418,468,420 ",KRISHNA.B   (PSI),1232374.0,,68200292,"FLAT NO 505 NORTHERN SKY, FLAT NO 505 NORTHERN SKY",8 KM,Beat 1,Mangaluru City Police Commissionarate Limits,5,2,0,0,0,0,1,0,0,0,0,0,2024000014,2297,10980229720240014,0
Mangaluru City,Moodabidre PS,0362/2021,1,2021,11,2021-10-11 09:00:00.000,2021-11-24 13:00:00.000,2021-11-24 14:00:00.000,24/11/2021,Non Heinous,Under Investigation,Others,CHEATING,CHEATING,13.092683,74.99772,"IPC 1860 U/s: 406,409,418,420 ",Sudeep MV   (PSI),2199343,,194300614,"PANDITH SIGHT, PANDITH SIGHT",3 K.M TOWARDS NORTH FROM PS,BEAT 1,PRANTHYA,1,0,0,0,0,0,2,1,0,1,0,0,2021000493,1069,10980106920210362,-1
