District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mangaluru City,Moodabidre PS,0102/2019,1,2019,6,2019-06-21 12:20:00.000,2019-06-21 12:21:00.000,2019-06-22 16:45:00.000,22/06/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13.065077,75.004078,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,180,5(1),3(1) IPC 1860 U/s: 338 ",Sudeep MV   (PSI),2199343,,194300614,"DEVIDE ROAD NEAR K.E.B, DEVIDE ROAD NEAR K.E.B",1 KM EAST TOWORDS PS,BEAT 1,PRANTHYA,1,0,0,0,0,0,2,1,0,1,2,2,2019000200,1069,10980106920190102,-1
Mangaluru City,Bajpe PS,0009/2022,1,2022,1,2022-01-18 17:00:00.000,2022-01-18 17:01:00.000,2022-01-19 16:00:00.000,19/01/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,12.962708,74.934304,"IPC 1860 U/s: 279,338 ",RAMA   (ASI),1235486,,105100002,"Near Hotel Tharabari, Near Hotel Tharabari",6 K.M. Towards South,1st  BEAT,BAJPE,0,1,0,0,0,0,1,1,0,1,1,1,2022000041,1051,10980105120220009,-1
Mangaluru City,Traffic North Police Station,0080/2020,1,2020,7,2020-07-02 16:00:00.000,2020-07-02 16:01:00.000,2020-07-03 14:15:00.000,03/07/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13.0873,74.7923,"IPC 1860 U/s: 338,279 ",YOGESH   (PSI),996546,,104100018,"Near Govt Hospital Karnadu,, Near Govt Hospital Karnadu,",Towords 15kms North,Beat 1,Mulky Station Limits,0,1,0,0,0,0,1,1,0,1,1,1,2020000080,2013,10980201320200080,-1
Mangaluru City,Traffic North Police Station,0063/2019,1,2019,3,2019-03-25 08:45:00.000,2019-03-25 08:46:00.000,2019-03-25 17:00:00.000,25/03/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13.081548,74.788838,"IPC 1860 U/s: 279,337,338 ",HANUMANTHA LAMANI   (HC),2293860,,106800026,"Near Kenchankere bus stop cross road, Near Kenchankere bus stop cross road",16 KMS Towards North - East,Beat 1,Mulky Station Limits,1,1,0,0,0,0,1,1,0,1,1,1,2019000063,2013,10980201320190063,-1
Mangaluru City,Traffic North Police Station,0079/2022,1,2022,4,2022-04-27 09:00:00.000,2022-04-27 09:01:00.000,2022-04-27 16:20:00.000,27/04/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13.072113,74.812197,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 184,180,181,5(1),3(1) ",VISHWANATH N   (ASI),1385182,,105400013,"Kenchanakere Turn Road Near Mayya Electronics, Kenchanakere Turn Road Near Mayya Electronics",Towards 20 kms North East,Beat 1,Mulky Station Limits,1,0,0,0,0,0,1,1,0,1,1,1,2022000079,2013,10980201320220079,-1
Mangaluru City,Bajpe PS,0008/2020,1,2020,1,2020-01-12 19:30:00.000,2020-01-12 19:31:00.000,2020-01-13 09:30:00.000,13/01/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,12.936575,74.937139,"IPC 1860 U/s: 279,337,338 ",POOVAPPA H M   (PSI),732973,,104200045,"Near Sowndarya Lodge Kateel, Near Sowndarya Lodge Kateel",8 K.M. Towards North,5th Beat,BADAGA YEKKAR,2,0,0,0,0,0,1,1,0,1,1,1,2020000009,1051,10980105120200008,-1
Mangaluru City,Bajpe PS,0023/2024,1,2024,2,2024-02-15 17:00:00.000,2024-02-15 17:10:00.000,2024-02-15 21:30:00.000,15/02/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,12.585156,74.532887,"IPC 1860 U/s: 279,337,338 ",CHINNAPPA ADAPOOR   (HC),2293793,,166200035,"Near Bajpe Petrol Bank, Near Bajpe Petrol Bank",Towards 1.5 km,1st  BEAT,BAJPE,0,1,0,0,1,0,1,0,0,0,0,0,2024000038,1051,10980105120240023,-1
Mangaluru City,Moodabidre PS,0029/2020,1,2020,1,2020-01-20 19:30:00.000,2020-01-20 19:31:00.000,2020-01-21 09:00:00.000,21/01/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13.104588,75.061276,"IPC 1860 U/s: 279,337 ",Sudeep MV   (PSI),2199343,,194300614,"NEAR KALLAMUNDKURU AUTO PARK, NEAR KALLAMUNDKURU AUTO PARK",8 KM TOWARDS WEST FROM THE PS,BEAT 3,KALLAMUNDKUR,1,0,0,0,0,0,1,1,0,1,1,1,2020000035,1069,10980106920200029,-1
Mangaluru City,Bajpe PS,0030/2024,1,2024,2,2024-02-24 18:40:00.000,2024-02-24 18:45:00.000,2024-02-25 19:20:00.000,25/02/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,12.5851,74.5331,"IPC 1860 U/s: 279,337 ",PURUSHOTHAMA D E   (HC),1939733,,166200047,"Near Wood Mill, Kinnikambla, Near Wood Mill, Kinnikambla",Towards 6 KM,2 nd BEAT,ADYAPADY,0,0,0,0,2,0,1,0,0,0,0,0,2024000060,1051,10980105120240030,-1
Mangaluru City,Traffic North Police Station,0044/2020,1,2020,2,2020-02-26 13:30:00.000,2020-02-26 13:31:00.000,2020-02-29 11:30:00.000,29/02/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13.074165,74.803509,"IPC 1860 U/s: 279,338,337 ",YOGESH   (PSI),996546,,104100018,"Near Karnad Gandhi Maidan, Near Karnad Gandhi Maidan",Towords 10 KM North,Beat 1,Mulky Station Limits,0,1,0,0,0,0,1,1,0,1,1,1,2020000044,2013,10980201320200044,-1
