District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mysuru City,V V Puram Traffic PS,0152/2019,1,2019,8,2019-08-29 20:20:00.000,2019-08-29 20:21:00.000,2019-08-29 22:00:00.000,29/08/2019,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.343038,76.579252,"IPC 1860 U/s: 304(A),279 ",PRAKASH.B.G   (PI),1966710,,4400097,"Infront of Kshathriya  Show room, Hootagalli, Infront of Kshathriya  Show room, Hootagalli",4 KM west,04 VIJAY NAGAR L&O PS,VIJAY NAGAR FIRST STAGE,1,0,0,0,0,0,1,0,0,0,1,0,2019000152,2014,10973201420190152,0
Mysuru City,V V Puram Traffic PS,0081/2019,1,2019,4,2019-04-26 20:00:00.000,2019-04-26 20:01:00.000,2019-04-27 10:00:00.000,27/04/2019,Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.329994,76.604265,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),187 ",PRAKASH.B.G   (PI),1966710,,4400097,"Mysuru - Hunsur  road, Mysuru - Hunsur  road",4 km To wards West,04 VIJAY NAGAR L&O PS,VIJAY NAGAR FIRST STAGE,1,0,0,0,0,0,1,0,0,0,0,0,2019000081,2014,10973201420190081,0
Mysuru City,Narasimharaja Traffic PS,0031/2023,1,2023,5,2023-05-14 18:25:00.000,2023-05-14 18:30:00.000,2023-05-14 21:00:00.000,14/05/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.357872,76.661945,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 146,3(1),196,181,5(1),180 ",REKHA BAI M H   (PI),1873657,,104500022,"Near K R Mill Colony, Near K R Mill Colony",North 4 KM From PS,BEAT 03 METAGALLY L & O PS,BELAVATHA GRAMA,1,0,0,0,0,0,2,1,0,1,2,0,2023000031,57,10973005720230031,0
Mysuru City,Krishnaraja Traffic PS,0022/2022,1,2022,2,2022-02-17 09:45:00.000,2022-02-17 09:46:00.000,2022-02-17 11:30:00.000,17/02/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.281415,76.606858,"IPC 1860 U/s: 279,338,304(A) ",ANAND K V   (ASI),1249056,,5100003,"AT RING ROAD, OPPOSITE SA RA CONVENTION HALL GATE, AT RING ROAD, OPPOSITE SA RA CONVENTION HALL GATE",6 KM TOWARDS WEST,5,KUVEMPUNAGARA POLICE STATION,1,1,0,0,0,0,1,0,0,0,1,0,2022000022,58,10973005820220022,0
Mysuru City,Krishnaraja Traffic PS,0153/2022,1,2022,10,2022-10-16 19:05:00.000,2022-10-16 19:06:00.000,2022-10-17 00:45:00.000,17/10/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.255931,76.643604,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),187 ",ANAND K V   (ASI),1249056,,5100003,"AT RING ROAD NORTH ROAD AKKAMAHADEVI ROAD JUNCTION, AT RING ROAD NORTH ROAD AKKAMAHADEVI ROAD JUNCTION",4 KM TOWARDS SOUTH,2,VIDYARANYAPURAM POLICE STATION,1,0,0,0,0,0,1,0,0,0,1,0,2022000153,58,10973005820220153,0
Mysuru City,Siddarthanagar Traffic PS,0043/2022,1,2022,3,2022-03-17 19:00:00.000,2022-03-17 19:01:00.000,2022-03-19 07:30:00.000,19/03/2022,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.310099,76.702394,"IPC 1860 U/s: 279,304(A) Rules Of The Roads Regulations, 1989 U/s: 7 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177 ",SREEDHAR K V   (PI),1955406,,189500042,"In Front of M Pro Hotel, In Front of M Pro Hotel",2 km  towards east,ALANAHALLI,SIDDARTHNAGARA,1,0,0,0,0,0,0,0,0,0,1,0,2022000043,2015,10973201520220043,0
Mysuru City,Krishnaraja Traffic PS,0136/2021,1,2021,12,2021-12-05 00:15:00.000,2021-12-05 00:16:00.000,2021-12-05 06:20:00.000,05/12/2021,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.295444,76.603974,"IPC 1860 U/s: 279,304(A) ",KARUNAKARA   (ASI),1843621,,4000020,"AT RING ROAD, NEAR RAJARAJESHWARI NAGARA, AT RING ROAD, NEAR RAJARAJESHWARI NAGARA",6 KM TOWARDS WEST,6,SARASWATHIPURAM POLICE STATION,1,0,0,0,0,0,1,0,0,0,1,0,2021000136,58,10973005820210136,0
Mysuru City,V V Puram Traffic PS,0052/2022,1,2022,3,2022-03-16 14:00:00.000,2022-03-16 14:01:00.000,2022-03-16 15:30:00.000,16/03/2022,Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.351683,76.602263,"IPC 1860 U/s: 279,338,304(A),337 ",MURALI M V   (ASI),1250427,,5900038,"Near SheshadhriPuram Collage, Near SheshadhriPuram Collage",4km To wards West,04 VIJAY NAGAR L&O PS,VIJAY NAGAR FIRST STAGE,1,1,0,0,0,0,1,1,0,1,1,0,2022000052,2014,10973201420220052,0
Mysuru City,Krishnaraja Traffic PS,0039/2021,1,2021,3,2021-03-07 02:45:00.000,2021-03-07 02:46:00.000,2021-03-07 08:30:00.000,07/03/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.263586,76.60315,"IPC 1860 U/s: 279,338,304(A) ",VINAY H N   (PI),1866726,,86600002,"AT RING ROAD, NEAR UNIVERSITY LAYOUT, AT RING ROAD, NEAR UNIVERSITY LAYOUT",5 KM TOWARDS SOUTH,5,KUVEMPUNAGARA POLICE STATION,2,0,0,0,0,0,1,0,0,0,1,0,2021000039,58,10973005820210039,0
Mysuru City,V V Puram Traffic PS,0052/2023,1,2023,3,2023-03-04 21:50:00.000,2023-03-04 21:51:00.000,2023-03-05 10:00:00.000,05/03/2023,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12.351337,76.627099,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 185 ",GOWTHAM GOWDA.B   (PSI),2790076,,5300106,"Near Akshaya Palace Hotel, Ring Road, Near Akshaya Palace Hotel, Ring Road",3 KM Towards West,03 METAGALLY L&O PS,METAGALLY,1,0,0,0,0,0,1,0,0,0,1,0,2023000052,2014,10973201420230052,0
