District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mysuru City,Siddarthanagar Traffic PS,0027/2022,1,2022,2,2022-02-20 18:30:00.000,2022-02-20 18:31:00.000,2022-02-21 09:00:00.000,21/02/2022,Heinous,False Case,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.30481,76.700365,"IPC 1860 U/s: 304(A),279 ",NATARAJ M R   (PI),2153771,,138800050,"Yaragana halli High School road, Near Chandana pro, Yaragana halli High School road, Near Chandana pro",4 K M North East,ALANAHALLI,SIDDARTHNAGARA,1,0,0,0,0,0,0,0,0,0,0,0,2022000027,2015,10973201520220027,0
Mysuru City,Narasimharaja Traffic PS,0014/2021,1,2021,2,2021-02-25 09:00:00.000,2021-02-25 09:10:00.000,2021-02-25 12:30:00.000,25/02/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.344404,76.646437,"IPC 1860 U/s: 279,337,304(A) ",PRASANNA KUMAR   (PI),189551,,88000255,"Behind JSS Medical College, Behind JSS Medical College",Northwest 4 KM,BEAT 01 NARASIMHARAJA L & O PS,NARASIMHARAJA MOHALLA,2,0,0,1,0,0,1,1,0,1,1,0,2021000014,57,10973005720210014,0
Mysuru City,Siddarthanagar Traffic PS,0103/2022,1,2022,8,2022-08-02 17:20:00.000,2022-08-02 17:21:00.000,2022-08-02 21:30:00.000,02/08/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.309505,76.6613149,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 66,192 IPC 1860 U/s: 279,304(A) ",SREEDHAR K V   (PI),1955406,,189500042,"Near Samrama bar Bus stop, Near Samrama bar Bus stop",2 K M Towards North West,NAZARBAD,NAZARBAD,1,0,0,0,0,0,1,0,0,0,1,0,2022000103,2015,10973201520220103,0
Mysuru City,Krishnaraja Traffic PS,0001/2021,1,2021,1,2021-01-02 11:15:00.000,2021-01-02 11:16:00.000,2021-01-03 12:05:00.000,03/01/2021,Heinous,Undetected,,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.262533,76.634846,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),187 ",KARUNAKARA   (ASI),1843621,,4000020,"NEAR DODDAMORI, DEVAIAHNAHUNDI MAIN ROAD, NEAR DODDAMORI, DEVAIAHNAHUNDI MAIN ROAD",6 KM TOWARDS,4,ASHOKAPURAM POLICE STATION,1,0,0,0,0,0,1,0,0,0,0,0,2021000001,58,10973005820210001,0
Mysuru City,V V Puram Traffic PS,0245/2023,1,2023,11,2023-11-11 18:30:00.000,2023-11-11 18:31:00.000,2023-11-12 11:00:00.000,12/11/2023,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.234568,76.213456,"IPC 1860 U/s: 279,304(A) ",LAVA M R   (PI),1966677,,90700007,"Near Ambedkar Statue, Near Ambedkar Statue",1 KM Towards South,02 J L PURAM L&O PS,J L PURAM,1,0,0,0,0,0,1,1,0,1,1,0,2023000245,2014,10973201420230245,-1
Mysuru City,V V Puram Traffic PS,0146/2020,1,2020,10,2020-10-07 23:30:00.000,2020-10-07 23:31:00.000,2020-10-08 17:00:00.000,08/10/2020,Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.340915,76.614945,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,146 ",ARUNA KUMARI   (PI),1898633,,3200073,"Abhishek circle road, Abhishek circle road",2 Kms Towards North,04 VIJAY NAGAR L&O PS,VIJAY NAGAR FIRST STAGE,1,0,0,0,0,0,2,0,0,0,2,1,2020000146,2014,10973201420200146,0
Mysuru City,Deveraja Traffic PS,0050/2023,1,2023,11,2023-11-12 02:45:00.000,2023-11-12 03:00:00.000,2023-11-12 12:30:00.000,12/11/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.316733,76.659367,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),187 IPC 1860 U/s: 279,337,304A,338 ",MAMATHA V D   (PI),196999,,100900022,"IN FRONT OF BESHAP HOUSE B N ROAD, IN FRONT OF BESHAP HOUSE B N ROAD",2 KMS NORTH  EAST  TO  PS,Beat No 02,LASHAKAR MOHALLA,2,0,0,0,0,0,1,0,0,0,1,0,2023000050,59,10973005920230050,0
Mysuru City,Krishnaraja Traffic PS,0178/2019,1,2019,11,2019-11-05 10:20:00.000,2019-11-05 10:21:00.000,2019-11-05 12:00:00.000,05/11/2019,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.299699,76.6277489,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,3(1) ",JAGADISH R   (PI),1895600,,137800041,"OPPOSITE HOUSE NO 754, 17th MAIN ROAD, OPPOSITE HOUSE NO 754, 17th MAIN ROAD",3 KM TOWARDS WEST,6,SARASWATHIPURAM POLICE STATION,1,0,0,0,0,0,1,0,0,0,1,0,2019000178,58,10973005820190178,0
Mysuru City,Krishnaraja Traffic PS,0005/2022,1,2022,1,2022-01-05 00:05:00.000,2022-01-05 00:06:00.000,2022-01-05 04:15:00.000,05/01/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.302143,76.646884,"IPC 1860 U/s: 279,304(A) ",MAHAVEER  BILAGI (PSI),2797947,,5100085,"THATHAIAH CIRCLE, CHAMARAJA DOUBLE ROAD & N.S.ROAD, THATHAIAH CIRCLE, CHAMARAJA DOUBLE ROAD & N.S.ROAD",1 KM TOWARDS EAST,1,KR POLICE STATION,1,0,0,0,0,0,1,0,0,0,1,0,2022000005,58,10973005820220005,0
Mysuru City,Krishnaraja Traffic PS,0062/2021,1,2021,5,2021-05-11 09:25:00.000,2021-05-11 09:26:00.000,2021-05-11 11:30:00.000,11/05/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.263531,76.615092,"IPC 1860 U/s: 279,338,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 128(1),177,134(a&b),187 ",KARUNAKARA   (ASI),1843621,,4000020,"NEAR DCM LAYOUT, NEAR DCM LAYOUT",5 KM TOWARDS SOUTH,5,KUVEMPUNAGARA POLICE STATION,3,0,0,0,0,0,1,0,0,0,1,0,2021000062,58,10973005820210062,0
