District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mysuru Dist,K.R. Nagar PS,0392/2023,1,2023,12,2023-11-29 22:45:00.000,2023-11-30 12:30:00.000,2023-12-01 16:00:00.000,01/12/2023,Non Heinous,Pending Trial,Oral,CRIMINAL INTIMIDATION,Criminal Intimidation,12.43822,76.382607,"IPC 1860 U/s: 341,504,323,34,325 ",DHANARAJU R   (PSI),2841169,,162200046,"Anjaneya Block and In front of K R Nagara police S, Anjaneya Block and In front of K R Nagara police S",1 KM TOWARDS EAST,TOWN BEAT,K R NAGAR,1,0,0,0,0,0,3,0,0,0,3,0,2023000587,887,10459088720230392,-1
Mysuru Dist,Mysuru South PS,0130/2019,1,2019,6,2019-05-23 06:00:00.000,2019-05-23 07:00:00.000,2019-06-06 17:00:00.000,06/06/2019,Non Heinous,Pending Trial,Written,CRIMINAL INTIMIDATION,Criminal Intimidation,12.256156,76.684333,"IPC 1860 U/s: 341,323,504,506,34 ",SWAMY GOWDA R   (PSI),1249588,,90100046,"Yeligehundi Village, Kasaba Hobli,, Yeligehundi Village, Kasaba Hobli,",Towads 8 K M South,Beat 17,Chikkegowdanahundi Village,1,1,0,0,0,0,4,0,0,0,3,0,2019000182,883,10459088320190130,-1
Mysuru Dist,K.R. Nagar PS,0328/2019,1,2019,9,2019-09-08 16:30:00.000,2019-09-08 16:35:00.000,2019-09-09 11:00:00.000,09/09/2019,Non Heinous,Compounded,Oral,CRIMINAL INTIMIDATION,Criminal Intimidation,12.437307,76.380216,"IPC 1860 U/s: 341,323,504 ",Chandrahasanayaka.L   (PSI),02152736,,89600053,"Gardgamba Circle K R Nagara Town, Gardgamba Circle K R Nagara Town",200 Meter Towards South,TOWN BEAT,K R NAGAR,1,0,0,0,0,0,1,0,0,0,1,0,2019000492,887,10459088720190328,-1
Mysuru Dist,Hullahalli PS,0042/2020,1,2020,4,2020-04-08 09:00:00.000,2020-04-08 09:05:00.000,2020-04-08 17:45:00.000,08/04/2020,Non Heinous,Convicted,Sue-moto by Police,CRIMINAL INTIMIDATION,Criminal Intimidation,12.041886,76.513958,"THE DISASTER MANAGEMENT ACT, 2005 U/s: 54 ",CHETHAN KUMAR D R   (PSI),2687977,,210300127,"SHETTAHALLI  VILLAGE, SHETTAHALLI  VILLAGE",15 TO WARDS SOUTH,16th BEAT,SHETTAHALLI,0,0,0,0,0,0,1,0,0,0,1,1,2020000049,1556,10459155620200042,-1
Mysuru Dist,K.R. Nagar PS,0251/2019,1,2019,7,2019-06-28 06:30:00.000,2019-06-28 06:35:00.000,2019-07-10 08:30:00.000,10/07/2019,Non Heinous,Pending Trial,Oral,CRIMINAL INTIMIDATION,Criminal Intimidation,12.435713,76.299402,"IPC 1860 U/s: 323,504,34 ",GIRISH S   (ASI),1250670,,88300005,"MAVATTUR VILLAGE, MAVATTUR VILLAGE",WEST 15 KM,CH OP 3rd Village beat,GOWDENAHALLI,0,1,0,0,0,0,2,0,2,2,2,0,2019000397,887,10459088720190251,-1
Mysuru Dist,T. Narasipura PS,0206/2023,1,2023,8,2023-08-14 14:00:00.000,2023-08-14 14:20:00.000,2023-08-15 16:20:00.000,15/08/2023,Non Heinous,Under Investigation,Written,CRIMINAL INTIMIDATION,Criminal Intimidation,12.456123,76.456123,"IPC 1860 U/s: 504,341,323,506,34 ",CHALUVARAJ   (PSI),1251018,,112400007,"COMPLANT HOUSE YADAODRE VILLAGE, COMPLANT HOUSE YADAODRE VILLAGE",TOWARDS 05 KM WEST,5,yadadoore,0,2,0,0,0,0,6,0,0,0,5,0,2023000295,905,10459090520230206,-1
Mysuru Dist,Hullahalli PS,0079/2020,1,2020,7,2020-07-24 18:00:00.000,2020-07-24 18:01:00.000,2020-07-27 12:00:00.000,27/07/2020,Non Heinous,Compounded,Written,CRIMINAL INTIMIDATION,Criminal Intimidation,12.056236,76.500404,"IPC 1860 U/s: 341,323,504,506,34 ",Krishnakant Koli   (PSI),3005546,,200900009,"SRI. BASAVESWARA  TEMPLE, AKALA VILLAGE, SRI. BASAVESWARA  TEMPLE, AKALA VILLAGE",12 KM TOWARDS  WEST,13th BEAT,CHANDRAVADI,1,0,0,0,0,0,2,0,0,0,2,0,2020000109,1556,10459155620200079,-1
Mysuru Dist,Mysuru South PS,0106/2019,1,2019,5,2019-03-30 09:00:00.000,2019-03-30 09:10:00.000,2019-05-10 17:30:00.000,10/05/2019,Non Heinous,Pending Trial,Others,CRIMINAL INTIMIDATION,Criminal Intimidation,12.34598,76.710745,"IPC 1860 U/s: 341,506 ",KEMPANNA   (PSI),976642,,88300016,"Hunasemarada Beedi, Rammanahalli Village,, Hunasemarada Beedi, Rammanahalli Village,",Toward 8 K.M East,Beat 07,VARUNA,1,0,0,0,0,0,1,0,0,0,1,0,2019000156,883,10459088320190106,-1
Mysuru Dist,T. Narasipura PS,0103/2019,1,2019,4,2019-04-24 16:45:00.000,2019-04-24 16:50:00.000,2019-04-25 12:30:00.000,25/04/2019,Non Heinous,Pending Trial,Written,CRIMINAL INTIMIDATION,Criminal Intimidation,12.207216,76.895943,"IPC 1860 U/s: 341,323,504,506,34,325 ",THIRUMALESH   (PSI),976530,,89300045,"VINAYAKACOLONY MARKET LINK  ROAD  TN PURA TOWN, VINAYAKACOLONY MARKET LINK  ROAD  TN PURA TOWN",1KM TO WARDS TO EAST TO PS,Town Beat 02,Hosa Tirumakudlu,0,1,0,0,0,0,2,0,0,0,2,0,2019000331,905,10459090520190103,-1
Mysuru Dist,H.D. Kote PS,0267/2019,1,2019,12,2019-11-30 20:00:00.000,2019-11-30 20:01:00.000,2019-12-01 10:00:00.000,01/12/2019,Non Heinous,Dis/Acq,Oral,CRIMINAL INTIMIDATION,Criminal Intimidation,12.130742,76.424355,"IPC 1860 U/s: 323,506,34 ",BASAVARAJU   (PI),2440166.0,,140500055,"Holehundi Village, Holehundi Village",18kms towards East,OP BEAT 5,KALIHUNDI,1,0,0,0,0,0,2,0,0,0,2,0,2019000443,896,10459089620190267,-1
