District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mysuru Dist,Yelawala PS,0006/2020,1,2020,1,2020-01-07 16:15:00.000,2020-01-07 16:30:00.000,2020-01-07 18:15:00.000,07/01/2020,Non Heinous,Convicted,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.366335,76.502744,"KARNATAKA EXCISE ACT, 1965 U/s: 32(3),15(A) ",JAVAREGOWDA M   (ASI),1246927,,88300014,"Near Accused Store Public Place, Near Accused Store Public Place",Towards West by 6 KM,4th village beat,Yelwala vilalge,0,0,0,0,0,0,1,0,0,0,1,1,2020000006,884,10459088420200006,-1
Mysuru Dist,K.R. Nagar PS,0118/2020,1,2020,3,2020-03-23 19:30:00.000,2020-03-23 19:31:00.000,2020-03-23 19:45:00.000,23/03/2020,Non Heinous,Convicted,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.43994,76.379966,"KARNATAKA EXCISE ACT, 1965 U/s: 15(A) ",Chandrahasanayaka.L   (PSI),02152736,,89600053,"INFRONT OF SIDDIK GUJARI STORE, INFRONT OF SIDDIK GUJARI STORE",1 KM TOWARDS WEST PS,TOWN BEAT,K R NAGAR,0,0,0,0,0,0,1,0,0,0,1,1,2020000152,887,10459088720200118,-1
Mysuru Dist,K.R. Nagar PS,0318/2019,1,2019,9,2019-09-01 16:00:00.000,2019-09-01 16:10:00.000,2019-09-01 18:00:00.000,01/09/2019,Non Heinous,Convicted,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.44704,76.348911,"KARNATAKA EXCISE ACT, 1965 U/s: 15(A),32(3) ",Chandrahasanayaka.L   (PSI),02152736,,89600053,"Near Byadarahalli-Adaganahalli Road Side, Near Byadarahalli-Adaganahalli Road Side",06 K M towards West to P S,6th village beat,KALENAHALLI,0,0,0,0,0,0,1,0,0,0,1,1,2019000480,887,10459088720190318,-1
Mysuru Dist,Varuna PS,0154/2019,1,2019,10,2019-10-16 10:30:00.000,2019-10-16 11:15:00.000,2019-10-16 13:00:00.000,16/10/2019,Non Heinous,Pending Trial,Written,Karnataka State Local Act,Karnataka Excise Act 1965,12.213568,76.8134,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",NAGAIAH K   (PSI),1248004,,89700021,"Siddaramanahundi Village, Siddaramanahundi Village",7KMS Towards East West,27 BEAT,Siddaramanahundi Village,0,0,0,0,0,0,1,1,0,1,1,0,2019000193,2155,10459215520190154,-1
Mysuru Dist,Saligrama PS,0087/2021,1,2021,5,2021-05-18 17:00:00.000,2021-05-18 17:15:00.000,2021-05-18 18:20:00.000,18/05/2021,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.557715,76.236543,"KARNATAKA EXCISE ACT, 1965 U/s: 32(3),15(A) ",DODDEGOWDA   (PSI),977184,,89200018,"Kedaga Road, Honnenahalli Village, Kedaga Road, Honnenahalli Village",9 K.M West To P.S.,7 th BEAT,KATNALU,0,0,0,0,0,0,1,0,0,0,1,0,2021000109,888,10459088820210087,-1
Mysuru Dist,Hullahalli PS,0017/2019,1,2019,3,2019-03-24 20:30:00.000,2019-03-24 22:00:00.000,2019-03-24 23:00:00.000,24/03/2019,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.07053,76.438307,"KARNATAKA EXCISE ACT, 1965 U/s: 32(1),38A IPC 1860 U/s: 420 ",Krishnakant Koli   (PSI),3005546,,200900009,"KATURU  VILLAGE, KATURU  VILLAGE",15 KM TOWARDS WEST,14th BEAT,KATURU,1,0,0,0,0,0,4,0,0,0,4,0,2019000069,1556,10459155620190017,-1
Mysuru Dist,Hullahalli PS,0051/2019,1,2019,9,2019-09-11 18:00:00.000,2019-09-11 19:15:00.000,2019-09-11 19:45:00.000,11/09/2019,Non Heinous,Convicted,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.096866,76.520389,"KARNATAKA EXCISE ACT, 1965 U/s: 32(3),15(A) ",Krishnakant Koli   (PSI),3005546,,200900009,"KANENURU  VILLAGE, KANENURU  VILLAGE",06 KM TO WARDS WEST,7th Beat,hanchipura,0,0,0,0,0,0,1,0,0,0,1,1,2019000129,1556,10459155620190051,-1
Mysuru Dist,Periyapatna PS,0003/2021,1,2021,1,2021-01-07 19:00:00.000,2021-01-07 19:30:00.000,2021-01-07 19:55:00.000,07/01/2021,Non Heinous,Convicted,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.360052,76.011913,"KARNATAKA EXCISE ACT, 1965 U/s: 32(3),15(A) ",RAVI KUMAR B R   (HC),1843799,,88700011,"GURURAJ RAVARA CHILLARE ANGADIYA MUMBHAGA, GURURAJ RAVARA CHILLARE ANGADIYA MUMBHAGA",13 KM TOWARDS WEST TO PS.,BEAT 13,SATHYAGALA B KAVAL,0,0,0,0,0,0,1,0,0,0,1,1,2021000005,1600,10459160020210003,-1
Mysuru Dist,Mysuru South PS,0177/2019,1,2019,7,2019-07-30 17:45:00.000,2019-07-30 17:50:00.000,2019-07-30 21:00:00.000,30/07/2019,Non Heinous,Pending Trial,Written,Karnataka State Local Act,Karnataka Excise Act 1965,12.292613,76.72704,"KARNATAKA EXCISE ACT, 1965 U/s: 32,34 ",KEMPANNA   (PSI),976642,,88300016,"BHUGATHAGALLY VILLAGE, BHUGATHAGALLY VILLAGE",8 K M TOWORDS EAST,Beat 01,BUGATHGALLI,0,0,0,0,0,0,1,0,1,1,1,0,2019000239,883,10459088320190177,-1
Mysuru Dist,Saligrama PS,0158/2019,1,2019,11,2019-11-19 17:15:00.000,2019-11-19 17:20:00.000,2019-11-19 19:00:00.000,19/11/2019,Non Heinous,Convicted,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.581218,76.315986,"KARNATAKA EXCISE ACT, 1965 U/s: 15(A),32(3) ",SOMANNA   (ASI),1250681,,88700072,"Bachahalli Village, Mirle Hobali, Bachahalli Village, Mirle Hobali",8 K.M East to P.S.,21St BEAT,SANKANAHALLI,0,0,0,0,0,0,1,0,0,0,1,1,2019000214,888,10459088820190158,-1
Mysuru Dist,Bylakuppe PS,0026/2019,1,2019,4,2019-04-03 18:00:00.000,2019-04-03 19:00:00.000,2019-04-03 20:00:00.000,03/04/2019,Non Heinous,Dis/Acq,Others,Karnataka State Local Act,Karnataka Excise Act 1965,12.406623,75.938236,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32,32(1) ",SHIVARAJU   (PSI),1250700,,160000040,"NEAR ACCUSED HOUSE ROAD, NEAR ACCUSED HOUSE ROAD",10 KM TOWARDS WEST,BEAT 21,DODDAHARAVE,0,0,0,0,0,0,1,1,0,1,1,0,2019000065,1602,10459160220190026,-1
Mysuru Dist,Bilikere PS,0181/2019,1,2019,8,2019-08-05 12:30:00.000,2019-08-05 13:30:00.000,2019-08-05 14:00:00.000,05/08/2019,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,12.262844,76.381318,"KARNATAKA EXCISE ACT, 1965 U/s: 32,34 ",RAVIKUMAR M   (PI),2152441,,106000044,"Nadappanahalli village, Nadappanahalli village",towards ps 15 km south,BEAT5,TIPPURU,0,0,0,0,0,0,2,1,1,2,2,0,2019000313,894,10459089420190181,-1
Mysuru Dist,Bilikere PS,0077/2019,1,2019,3,2019-03-19 14:00:00.000,2019-03-19 14:01:00.000,2019-03-19 15:30:00.000,19/03/2019,Non Heinous,Pending Trial,Written,Karnataka State Local Act,Karnataka Excise Act 1965,12.199778,76.411352,"KARNATAKA EXCISE ACT, 1965 U/s: 32,34 ",RAVIKUMAR M   (PI),2152441,,106000044,"Sonahalli village, Sonahalli village",22 K.M TOWRDS SOUTH,BEAT7,SINGARAMARANAHALLY,0,0,0,0,0,0,1,1,0,1,1,0,2019000163,894,10459089420190077,-1
