District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mysuru Dist,Hullahalli PS,0183/2023,1,2023,12,2023-12-24 22:00:00.000,2023-12-24 22:05:00.000,2023-12-28 17:30:00.000,28/12/2023,Non Heinous,Under Investigation,Written,MOLESTATION,Other Places,12.09735,76.556599,"IPC 1860 U/s: 341,323,324,354,504,34 ",CHETHAN KUMAR D R   (PSI),2687977,,210300127,"ALLAIAHNAPURA VILLAGE, ALLAIAHNAPURA VILLAGE",14  KM TOWARDS  WEST,14th BEAT,KATURU,1,1,0,0,0,0,4,0,0,0,4,0,2023000231,1556,10459155620230183,-1
Mysuru Dist,Hunusur Rural PS,0052/2024,1,2024,2,2024-02-02 14:00:00.000,2024-02-02 14:05:00.000,2024-02-12 11:30:00.000,12/02/2024,Non Heinous,Under Investigation,Others,MOLESTATION,Other Places,12.278869,76.255299,"IPC 1860 U/s: 114,354,324,323,504,34,341,506 ",Ramachandra Nayak   (PSI),1258743,,84400057,"Infront of Complainat House, Channasoge  Village, Infront of Complainat House, Channasoge  Village",5 KM Towrds West,VILLAGE BEAT 22,ANGATAHALLI,1,1,0,0,0,0,6,0,0,0,0,0,2024000062,893,10459089320240052,-1
Mysuru Dist,Hullahalli PS,0118/2020,1,2020,10,2020-10-17 11:00:00.000,2020-10-17 11:05:00.000,2020-10-31 11:00:00.000,31/10/2020,Non Heinous,Pending Trial,Written,MOLESTATION,Other Places,12.057502,76.444175,"IPC 1860 U/s: 341,323,354,504,34 ",Krishnakant Koli   (PSI),3005546,,200900009,"ALLAYYANAPURA  VILLAGE, ALLAYYANAPURA  VILLAGE",20 KM TOWRDS SOUTH,14th BEAT,KATURU,0,1,0,0,0,0,2,0,0,0,2,0,2020000169,1556,10459155620200118,-1
Mysuru Dist,K.R. Nagar PS,0202/2019,1,2019,6,2019-06-02 07:00:00.000,2019-06-02 07:30:00.000,2019-06-02 10:30:00.000,02/06/2019,Non Heinous,Pending Trial,Written,MOLESTATION,Other Places,12.458321,76.444144,"IPC 1860 U/s: 447,341,354,323,324,504,506,327,114,34 ",Chandrahasanayaka.L   (PSI),02152736,,89600053,"SARVY NO 65 NEAR HOSURUKALLHALLY  VILLAGE, SARVY NO 65 NEAR HOSURUKALLHALLY  VILLAGE",10 KM TOWARDS EAST FROM PS,3rd village beat,MUDALAKOPPALU,1,1,0,0,0,0,4,0,1,1,3,0,2019000340,887,10459088720190202,-1
Mysuru Dist,T. Narasipura PS,0293/2023,1,2023,10,2023-10-18 09:20:00.000,2023-10-18 09:30:00.000,2023-10-18 20:20:00.000,18/10/2023,Non Heinous,Pending Trial,Oral,MOLESTATION,Other Places,12.259204,76.954764,"IPC 1860 U/s: 354(B),506,509,341,34,323,324 ",PACHEGOWDA   (PSI),1246939,,90500034,"SANGADA HOUSE OPPOSITE, SANGADA HOUSE OPPOSITE",TOWARDS 08 KM NORTH,Beat No 10,Kendankoppalu,0,2,0,0,0,0,4,0,0,0,4,0,2023000388,905,10459090520230293,-1
Mysuru Dist,Saligrama PS,0001/2024,1,2024,1,2023-11-16 10:00:00.000,2024-01-01 12:00:00.000,2024-01-03 14:30:00.000,03/01/2024,Non Heinous,Under Investigation,Written,MOLESTATION,Other Places,12.559644,76.265225,"IPC 1860 U/s: 504,506,323,324,354,427,498A,149,147,143,354(B) ",KRISHNA RAJU G   (PI),1895608,,107701726,"HARADANAHALLI VILLAGE, HARADANAHALLI VILLAGE",8 KM  WEST TOWARDS PS,4 th BEAT,MAVANURU,1,2,0,0,0,0,6,0,0,0,6,0,2024000002,888,10459088820240001,-1
Mysuru Dist,Periyapatna PS,0080/2019,1,2019,4,2019-04-13 06:00:00.000,2019-04-13 06:01:00.000,2019-04-13 13:30:00.000,13/04/2019,Non Heinous,Dis/Acq,Oral,MOLESTATION,Other Places,12.337646,76.160952,"IPC 1860 U/s: 504,323,341,354,506,34 ",PUTTARAJU M.S   (PSI),976548,,160000034,"LATE.PAPANNASHETTY RAVARA MALIGEYA BALI, LATE.PAPANNASHETTY RAVARA MALIGEYA BALI",07 KM TOWARDS EAST TO PS.,BEAT 23,KAMLAPURA VILLAGE,0,2,0,0,0,0,3,1,2,3,3,0,2019000163,1600,10459160020190080,-1
Mysuru Dist,K.R. Nagar PS,0069/2024,1,2024,3,2024-03-07 14:30:00.000,2024-03-07 14:31:00.000,2024-03-08 12:00:00.000,08/03/2024,Non Heinous,Under Investigation,Written,MOLESTATION,Other Places,12.481336,76.346298,IPC 1860 U/s: 354 ,RAMANNA.K   (PSI),1072772,,84900009,"COMPALENT LAND HEBBALU VILLAGE, COMPALENT LAND HEBBALU VILLAGE",7 KM TO PS,New Beat 13,Hebbalu,0,1,0,0,0,0,1,0,0,0,0,0,2024000100,887,10459088720240069,-1
Mysuru Dist,Biligere PS,0027/2023,1,2023,2,2023-02-11 10:30:00.000,2023-02-11 10:35:00.000,2023-02-13 14:01:00.000,13/02/2023,Non Heinous,Under Investigation,Written,MOLESTATION,Other Places,12.123456,76.123458,"IPC 1860 U/s: 324,504,34,509,506,354,326 ",RAVI SHANKARA C   (PSI),2289418,,194300178,"INFRONT OF COMPLAINT HOUSE  HORALAVADI VILLAGE, INFRONT OF COMPLAINT HOUSE  HORALAVADI VILLAGE",TOWARDS 13 KM EAST FROM THE STATION,5th Beat,Mulluru Village,1,1,0,0,0,0,4,0,0,0,4,0,2023000031,903,10459090320230027,-1
Mysuru Dist,Hunusur Rural PS,0100/2019,1,2019,4,2019-04-20 17:00:00.000,2019-04-20 17:01:00.000,2019-04-21 15:30:00.000,21/04/2019,Non Heinous,Pending Trial,Written,MOLESTATION,Other Places,12.189447,76.310531,"IPC 1860 U/s: 341,323,354,34,504,506 ",LINGARAJA URS   (PSI),1246873,,89200036,"Complaniat land Hundimala village, Complaniat land Hundimala village",18 km towards to South ps,VILLAGE BEAT 39,HUNDIMALA,0,1,0,0,0,0,4,1,1,2,4,0,2019000223,893,10459089320190100,-1
