District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,Koramangala PS,0089/2020,1,2020,3,2020-03-31 11:30:00.000,2020-03-31 11:40:00.000,2020-03-31 12:00:00.000,31/03/2020,Non Heinous,Pending Trial,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,12.933397,77.623316,"IPC 1860 U/s: 353,188,504 EPIDEMIC DISEASES ACT, 1897 U/s: 3 ",SANGEETA   (PSI),2841394,,140500144,"NEAR SUKHASAGAR JUNCTION 100FEET ROAD, NEAR SUKHASAGAR JUNCTION 100FEET ROAD",TOWARDS SOUTH 1.5KMS FROM PS,BEAT NO 5,KHB COLONY,2,0,0,0,0,0,0,1,0,1,1,0,2020000098,1383,10443138320200089,0
Raichur,Devadurga PS,0125/2019,1,2019,9,2019-09-01 20:40:00.000,2019-09-01 20:45:00.000,2019-09-02 18:00:00.000,02/09/2019,Heinous,Pending Trial,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,16.41503,76.929152,"IPC 1860 U/s: 353,504,34,506 ",H.B.SANMANI   (PI),1898688,,1400008,"INSIDE OF DEODURGA POLICE STATION, INSIDE OF DEODURGA POLICE STATION",00 KM FROM PS,BEAT14,DEODURGA,1,0,0,0,0,0,2,2,0,2,2,0,2019000273,992,10461099220190125,-1
Dakshina Kannada,Puttur Town PS,0044/2021,1,2021,6,2021-06-02 17:50:00.000,2021-06-02 17:51:00.000,2021-06-02 18:50:00.000,02/06/2021,Heinous,Pending Trial,Sue-moto by Police,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,12.784269,75.208349,"IPC 1860 U/s: 323,353,34,332,269 ",SUNIL KUMAR M S   (PI),2153883,,166900032,"Kemmai Junction, Kemmai Junction",4 KM Towards North East from PS,BEAT 4,BANNURU,1,0,0,0,0,0,4,4,0,4,4,0,2021000066,1060,10463106020210044,-1
Bengaluru City,Nandini Layout PS,0481/2017,1,2017,9,2017-09-20 21:15:00.000,2017-09-20 21:30:00.000,2017-09-20 21:45:00.000,20/09/2017,Non Heinous,Convicted,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,13.0158925877813,77.5333864628025,IPC 1860 U/s: 353 ,LOHITHA B N   (PI),1967006,,600074,"Nandini Layout PS, Nandini Layout PS",Towards 200m West to  PS,Beat 4,NANDINI LAYOUT POLICE STATION,1,0,0,0,0,0,1,1,0,1,1,1,2017000539,1363,10443136320170481,0
Bengaluru City,Basaveshwara Nagar PS,0003/2024,1,2024,1,2024-01-03 01:30:00.000,2024-01-03 02:00:00.000,2024-01-03 04:30:00.000,03/01/2024,Heinous,Under Investigation,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,12.989912,77.550357,"IPC 1860 U/s: 353,504,506 ",GOPALAIAH A R   (ASI),1726767,,143000073,"APPANNA HOTEL WOC ROAD, APPANNA HOTEL WOC ROAD",2 KM FROM PS TOWARDS EAST,BEAT 3,BHOVI COLONY,1,0,0,0,1,0,1,0,0,0,0,0,2024000003,1426,10443142620240003,0
Bengaluru City,Viveknagar PS,0264/2017,1,2017,11,2017-11-15 01:10:00.000,2017-11-15 01:30:00.000,2017-11-15 02:20:00.000,15/11/2017,Non Heinous,Pending Trial,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,12.94513494,77.62893579,"IPC 1860 U/s: 332,353,504,34 ",PUTTARAJU B H   (HC),1744889,,139800091,"Sri Rama Temple Road, 20th H Cross,  Peppar Hotel, Sri Rama Temple Road, 20th H Cross,  Peppar Hotel",Nearly 1.5Km Towards,Beat 5,Ejipura,0,0,0,0,0,0,2,0,0,0,2,0,2017000304,1390,10443139020170264,0
Ballari,Brucepet PS,0006/2024,1,2024,1,2024-01-06 12:30:00.000,2024-01-06 12:35:00.000,2024-01-06 15:00:00.000,06/01/2024,Heinous,Under Investigation,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,15.143397,76.936866,"IPC 1860 U/s: 353,341,504,506,34 ",MALAKAPPA N SINDHUR   (PI),168999,,146500019,"ANANTAPUR ROAD, OPP NEW DC OFFICE, ANANTAPUR ROAD, OPP NEW DC OFFICE",TOWORDS EAST ONE KM,BEAT 6,DATTASAI NAGARA AREA,1,0,0,0,0,0,3,3,0,3,3,0,2024000008,333,10445033320240006,-1
Uttara Kannada,Bhatkal Town PS,0160/2019,1,2019,11,2019-11-20 09:30:00.000,2019-11-20 09:35:00.000,2019-11-20 11:15:00.000,20/11/2019,Heinous,Pending Trial,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,13.988963,74.545905,"IPC 1860 U/s: 353,332,324,504,34 ",P.M.DIWAKAR   (PI),1962630.0,,31400025,"HANUMAN NAGAR, HANUMAN NAGAR",1 KMTRS TOWARDS  NORTH,BEAT NO 19,HANUMAN NAGAR,4,1,0,0,0,0,3,2,1,3,3,0,2019000242,949,10460094920190160,-1
Bengaluru City,Girinagar PS,0596/2023,1,2023,12,2023-12-14 03:57:00.000,2023-12-14 05:00:00.000,2023-12-14 05:30:00.000,14/12/2023,Non Heinous,Pending Trial,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,12.940324,77.542705,"IPC 1860 U/s: 353,504,506 ",RAKSHITH A K   (PI),2282205,,103800103,"No. 727, 1st D Main, 6th Cross,, No. 727, 1st D Main, 6th Cross,",Towards north 1.00 km from PS,BEAT 16,NEHARU ROAD TO SEETHA CIRCLE,1,0,0,0,0,0,1,1,0,1,1,0,2023000688,1368,10443136820230596,0
Bengaluru City,Chikkajala PS,0006/2019,1,2019,1,2019-01-10 11:00:00.000,2019-01-10 11:01:00.000,2019-01-10 11:30:00.000,10/01/2019,Non Heinous,Pending Trial,Sue-moto by Police,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,13.16982,77.657861,"IPC 1860 U/s: 353,332,504,506 ",RAGHAVENDRA S R   (PI),1845464,,174100067,"Chikkajala Police station, Chikkajala Police station",0,Beat 4,Suggatta,1,0,0,0,0,0,1,1,0,1,1,0,2019000007,268,10443026820190006,-1
