District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru Dist,Madanayakanahally PS,0109/2021,1,2021,2,2021-02-25 18:00:00.000,2021-02-25 18:10:00.000,2021-02-26 14:30:00.000,26/02/2021,Non Heinous,Pending Trial,Oral,RIOTS,Others,13.052067,77.478311,"IPC 1860 U/s: 323,324,504,506,149 ",KUMAR SWAMY M   (PSI),1131715.0,,107701050,"Bhaskar Roadlines, Makali, Bhaskar Roadlines, Makali",1 km towards west from ps,5,DASANAPURA,1,0,0,0,0,0,1,1,0,1,1,0,2021000134,1914,10442191420210109,3
Bengaluru Dist,Jigani PS,0081/2023,1,2023,4,2023-04-19 18:00:00.000,2023-04-19 20:00:00.000,2023-04-20 19:00:00.000,20/04/2023,Non Heinous,Pending Trial,Others,RIOTS,Others,12.768684,77.639369,"IPC 1860 U/s: 324,323,448,149,148,147,143,504,506,427 ",SHABANA YASEEN MAKANDAR (PSI),3230218,,200000012,"NEAR BY HAIKAL COMPANY, JIGANI INDSTRIAL AERA, NEAR BY HAIKAL COMPANY, JIGANI INDSTRIAL AERA",2. K.M FROM WEAST,1st BEAT,JIGANI,1,0,0,0,0,0,6,3,0,3,7,0,2023000147,2000,10442200020230081,-1
Belagavi City,Tilakwadi PS,0011/2019,1,2019,2,2019-02-09 10:49:00.000,2019-02-09 10:50:00.000,2019-02-09 13:20:00.000,09/02/2019,Non Heinous,False Case,Written,RIOTS,Others,15.829421,74.503853,"IPC 1860 U/s: 143,147,427,447,506,149 ",B J NADAF   (PSI),547962,,148700004,"Plot NO:54 Maniyar Layout Chougulewadi, Plot NO:54 Maniyar Layout Chougulewadi",West 1km from PS,Beat 10,Chougalewadi Kaivalya Nagar,1,0,0,0,0,0,2,0,0,0,0,0,2019000017,302,10982030220190011,0
Yadgir,Yadgiri Rural PS,0068/2023,1,2023,5,2023-05-11 20:30:00.000,2023-05-11 20:40:00.000,2023-05-12 17:00:00.000,12/05/2023,Non Heinous,Pending Trial,Written,RIOTS,Others,16.0,77.0,"IPC 1860 U/s: 143,147,148,323,324,504,506,149 ",Mahantesh G Patil   (PSI),2764983,,39000069,"NEAR ERAPPA NATEKAR HOUSE HEDAGIMDRA VILLAGE, NEAR ERAPPA NATEKAR HOUSE HEDAGIMDRA VILLAGE",15 KM WEST FROM PS,BEAT 7,BASAVANTAPUR,5,0,0,0,0,0,19,0,0,0,10,0,2023000106,1590,10978159020230068,-1
Raichur,Lingasugur PS,0078/2019,1,2019,3,2019-03-29 20:30:00.000,2019-03-29 20:35:00.000,2019-03-31 10:00:00.000,31/03/2019,Non Heinous,Pending Trial,Written,RIOTS,Others,16.269426,76.573625,"IPC 1860 U/s: 143,147,148,504,323,324,354,506,149 ",Dambal Prakasharaddy   (PSI),2764980,,95800389,"Devara Bhupura Village, Devara Bhupura Village",14 Kms North From ps,2,IDANAL VILLAGE,0,1,0,0,0,0,17,10,7,17,17,0,2019000197,985,10461098520190078,-1
Belagavi Dist,Khanapur PS,0251/2021,1,2021,12,2021-12-17 19:55:00.000,2021-12-17 20:00:00.000,2021-12-18 20:25:00.000,18/12/2021,Non Heinous,Pending Trial,Oral,RIOTS,Others,15.655283,74.500803,"IPC 1860 U/s: 143,147,148,323,326,341,149 ",VITTAL BHEEMAPPA DEVAMANE (ASI),1472218,,147800075,"At Gandhi Nagar Khanapur, At Gandhi Nagar Khanapur",Towards north 2 kms from p.s.,BEAT NO 12,BAILUR,1,0,0,0,0,0,5,0,0,0,5,0,2021000323,314,10444031420210251,-1
Bagalkot,Kerur PS,0031/2019,1,2019,2,2019-02-24 13:00:00.000,2019-02-24 13:01:00.000,2019-02-24 22:45:00.000,24/02/2019,Non Heinous,Pending Trial,Written,RIOTS,Others,16.083511,75.579594,"IPC 1860 U/s: 341,504,143,147,148,149,323,324 ",S.M.RATHOD   (HC),1878717,,126300020,"HUBLI VIJAYAPUR NH-218 ROAD NEAR HULAGERI VILLAGE, HUBLI VIJAYAPUR NH-218 ROAD NEAR HULAGERI VILLAGE",NORTH 9 KM FROM PS,RURALBEAT2,NARENUR,3,0,0,0,0,0,0,1,0,1,1,0,2019000034,1247,10470124720190031,-1
Dharwad,Garag PS,0179/2023,1,2023,9,2023-09-18 14:30:00.000,2023-09-18 14:31:00.000,2023-09-19 15:00:00.000,19/09/2023,Non Heinous,Under Investigation,Written,RIOTS,Others,15.59491,74.834332,"IPC 1860 U/s: 326,323,149,148,147,143,504,506,109 ",SATAPUTE P G   (ASI),1202742,,60900023,"In Complaint field, In Complaint field",14 west,NEW BEAT 4,MADANABHAVI VILLAGE,2,0,0,0,0,0,11,0,0,0,0,0,2023000293,609,10452060920230179,-1
Mangaluru City,Ullal PS,0179/2021,1,2021,8,2021-08-15 15:45:00.000,2021-08-15 15:50:00.000,2021-08-15 19:15:00.000,15/08/2021,Non Heinous,Pending Trial,Written,RIOTS,Others,12.826182,74.861273,"IPC 1860 U/s: 143,147,148,341,504,323,324,149 ",DHANARAJ   (PSI),1232369,,106900016,"Kallapu Junction, Kallapu Junction",3 KM Towards East - North,2,PERMANNNUR,1,0,0,0,0,0,4,5,0,5,3,0,2021000237,1059,10980105920210179,-1
Belagavi Dist,Athani PS,0146/2021,1,2021,4,2021-04-25 10:00:00.000,2021-04-25 10:01:00.000,2021-04-27 20:45:00.000,27/04/2021,Non Heinous,Pending Trial,Written,RIOTS,Others,16.587911,75.155101,"IPC 1860 U/s: 323,149,147,143,504 ",P B PATIL   (HC),2271164.0,,32700273,"Savadi Village, Savadi Village",Toward's South 20  KM,Savadi 13,SAVADI,1,0,0,0,0,0,9,9,0,9,9,0,2021000175,1485,10444148520210146,-1
Koppal,Kushtagi PS,0226/2019,1,2019,11,2019-11-08 18:00:00.000,2019-11-08 18:01:00.000,2019-11-09 20:00:00.000,09/11/2019,Non Heinous,Pending Trial,Written,RIOTS,Others,15.909247,76.196219,"IPC 1860 U/s: 143,109,354,354(A),354(D)(2),504,506,149 ",CHITTARANJAN D.   (PI),2481347,,68300201,"Near Complainant House, Tonasihal Tanda Village, Near Complainant House, Tonasihal Tanda Village",20 KM PS FROM NORTH,Village Beat No 12,Ganganal,0,1,0,0,0,0,5,1,0,1,6,0,2019000282,1176,10468117620190226,-1
Hubballi Dharwad City,Dharwad Town PS,0018/2019,1,2019,3,2019-03-05 23:00:00.000,2019-03-05 23:01:00.000,2019-03-06 14:15:00.000,06/03/2019,Non Heinous,Pending Trial,Written,RIOTS,Others,15.454419,75.016536,"IPC 1860 U/s: 143,147,148,323,324,149 ",LAXMIKANTH K TALAWAR   (PI),18955516,,90100013,"MEKKA MASJID MADARMADDI, MEKKA MASJID MADARMADDI",SOUTH 2.5 K M,BEAT NO 4,WALMIKI ONI,1,0,0,0,0,0,5,0,0,0,5,0,2019000078,81,10971008120190018,1
Bengaluru City,Soladevanahalli PS,0396/2023,1,2023,12,2023-12-05 13:30:00.000,2023-12-07 18:00:00.000,2023-12-07 18:10:00.000,07/12/2023,Non Heinous,Under Investigation,Written,RIOTS,Others,13.082016,77.772827,"IPC 1860 U/s: 143,147,149,448 ",Kavish S   (PSI),3230255,,3000135,"Ambedkar bhavan, Ambedkar bhavan",6 km from ps,BEAT 6,HESARUGHATTA,2,0,0,0,0,0,6,0,0,0,0,0,2023000483,30,10443003020230396,-1
Mangaluru City,Mangalore North PS,0135/2019,1,2019,12,2019-12-19 14:15:00.000,2019-12-19 14:30:00.000,2019-12-20 10:45:00.000,20/12/2019,Heinous,Pending Trial,Written,RIOTS,Others,12.864377,74.83357,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(a),2(b) IPC 1860 U/s: 143,147,148,149,188,323,324,332,353 ",GOVINDARAJU B.   (PI),1966759.0,,87100001,"NEAR NORTH  POLICE STATION,, NEAR NORTH  POLICE STATION,",00,Beat 1,Kasaba Bazar,1,0,0,0,0,0,20,0,0,0,86,0,2019000278,1041,10980104120190135,-1
Hubballi Dharwad City,Keshavapur PS,0005/2019,1,2019,1,2019-01-11 22:30:00.000,2019-01-11 22:31:00.000,2019-01-14 13:05:00.000,14/01/2019,Non Heinous,Dis/Acq,Written,RIOTS,Others,15.359456,75.146011,"IPC 1860 U/s: 324,323,149,147,143,504,341,506 ",S P NAGNUR   (ASI),1158063,,7800120,"BARAKUTRI NEAR NEAR  PUBLIC TOILET, BARAKUTRI NEAR NEAR  PUBLIC TOILET",WEST 1.K.M. FROM.P.S,BEAT 1,BHAVANINAGAR,1,0,0,0,0,0,3,0,0,0,3,0,2019000006,73,10971007320190005,-1
Vijayapur,Basavan Bagewadi PS,0171/2019,1,2019,9,2019-09-12 10:30:00.000,2019-09-12 10:31:00.000,2019-09-12 13:30:00.000,12/09/2019,Non Heinous,Pending Trial,Written,RIOTS,Others,16.573531,75.972404,"IPC 1860 U/s: 143,147,148,354,323,324,504,506,149 ",CHANDRASHEKAR   (PSI),2481355,,8000076,"In Basavan Bagewadi Town At Complainant House, In Basavan Bagewadi Town At Complainant House",West 0.5 km,1,SAVAL HALL LT,1,2,0,0,0,0,8,6,2,8,5,0,2019000251,429,10447042920190171,-1
Kalaburagi,Sedam PS,0004/2024,1,2024,1,2024-01-02 22:45:00.000,2024-01-02 22:55:00.000,2024-01-03 01:00:00.000,03/01/2024,Non Heinous,False Case,Oral,RIOTS,Others,17.285012,77.179929,"IPC 1860 U/s: 143,147,148,323,324,326,504,506,149 ",Thirumalesha   (PSI),2530838,,68300275,"IN FRONT OF SAVERA HOTEL SEDAM, IN FRONT OF SAVERA HOTEL SEDAM",01 KM TOWARDS WEST,Beat No 36,Ashraya Colony,2,0,0,0,0,0,5,0,0,0,0,0,2024000004,1585,10454158520240004,-1
Mysuru Dist,Hullahalli PS,0139/2020,1,2020,12,2020-12-01 20:30:00.000,2020-12-01 20:40:00.000,2020-12-02 12:00:00.000,02/12/2020,Non Heinous,Pending Trial,Written,RIOTS,Others,12.093773,76.488673,"IPC 1860 U/s: 506,341,504,143,147,148,149,323,324,326 ",CHETHAN KUMAR D R   (PSI),2687977,,210300127,"Madanahalli village, Madanahalli village",West 10KM From PS,12 th BEAT,KAPPASOGE,1,0,0,0,0,0,11,0,0,0,10,0,2020000193,1556,10459155620200139,-1
Belagavi Dist,Athani PS,0157/2020,1,2020,5,2020-05-14 20:30:00.000,2020-05-14 20:31:00.000,2020-05-15 15:00:00.000,15/05/2020,Non Heinous,Pending Trial,Written,RIOTS,Others,16.880213,75.051619,"IPC 1860 U/s: 143,147,323,341,504,506,149 ",KUMAR HADAKAR   (PSI),2481364.0,,44700147,"INFRON OF COMPLAINANT FILD HOUSE TANVSHI, INFRON OF COMPLAINANT FILD HOUSE TANVSHI",25 KMS TOWARDS NORTH,Hosatti 07,Hosatti,2,3,0,0,0,0,12,6,5,11,18,0,2020000197,1485,10444148520200157,-1
Kalaburagi,Nelogi PS,0184/2023,1,2023,12,2023-12-06 18:00:00.000,2023-12-06 18:15:00.000,2023-12-10 13:15:00.000,10/12/2023,Non Heinous,Under Investigation,Written,RIOTS,Others,17.005376,76.529789,"IPC 1860 U/s: 341,504,506,149 ",BASWARAJ   (HC),1905214,,69500012,"Mandewal Village In Jogur Petrol Pump, Mandewal Village In Jogur Petrol Pump",Towards 12 KM South From Ps,BEAT NO 11,KALLUR K,1,0,0,0,0,0,3,0,0,0,0,0,2023000302,1573,10454157320230184,-1
Uttara Kannada,Manki PS,0046/2019,1,2019,6,2019-06-17 09:00:00.000,2019-06-17 09:05:00.000,2019-06-17 16:30:00.000,17/06/2019,Non Heinous,Pending Trial,Written,RIOTS,Others,14.238935,74.516711,"IPC 1860 U/s: 354,504,506,149,147,143,323 ",PARAMESHWAR SADANAND   (ASI),900634013,,95400016,"¨BALKUR SARVE NO:180/L, ¨BALKUR SARVE NO:180/L",TOWARDS FROM EAST 10KM,BEAT NO 02,BALKURU,0,1,0,0,0,0,7,3,1,4,5,0,2019000072,1681,10460168120190046,-1
Kalaburagi,Nelogi PS,0060/2019,1,2019,5,2019-05-19 10:30:00.000,2019-05-19 11:00:00.000,2019-05-20 05:00:00.000,20/05/2019,Non Heinous,Pending Trial,Oral,RIOTS,Others,17.07341,76.477654,"IPC 1860 U/s: 324,323,149,148,147,143,504,506 ",DATTAPPA   (HC),900795658,,70400006,"BELUR VILLAGE COMPLINET HOUSE, BELUR VILLAGE COMPLINET HOUSE",TOWARDS 20 KM WEST FROM PS,BEAT NO 19,NARAYANPUR,1,0,0,0,0,0,4,5,0,5,6,0,2019000089,1573,10454157320190060,-1
Belagavi Dist,Bailahongal PS,0167/2019,1,2019,8,2019-08-19 17:00:00.000,2019-08-19 17:01:00.000,2019-08-20 18:30:00.000,20/08/2019,Non Heinous,Pending Trial,Written,RIOTS,Others,15.770458,74.683991,"IPC 1860 U/s: 143,147,148,341,323,324,504,506,149,34 ",M S HUGAR   (PI),2282207.0,,21000055,"CHIVATAGUNDI VILLAGE, CHIVATAGUNDI VILLAGE",8 KM TOWARDS WEST FROM PS,11 CHIVATAGUNDI,CHIVATAGUNDI,1,0,0,0,0,0,6,4,0,4,4,0,2019000286,1464,10444146420190167,-1
Chickballapura,Bagepalli PS,0264/2023,1,2023,9,2023-09-22 20:15:00.000,2023-09-22 20:40:00.000,2023-09-23 01:00:00.000,23/09/2023,Non Heinous,Pending Trial,Oral,RIOTS,Others,13.701219,77.838489,"IPC 1860 U/s: 143,147,148,323,324,504,506,149 ",RAMESH S V   (HC),2323053.0,,157600057,"Kanagamakalahalli Village, Kanagamakalahalli Village",13 Kms South to Ps,VILLAGE BEAT 18,ARIGEPALLI,3,2,0,0,0,0,10,0,0,0,6,0,2023000311,1572,10976157220230264,-1
Dharwad,Dharwad Rural PS,0024/2021,1,2021,2,2021-01-24 16:30:00.000,2021-01-25 09:00:00.000,2021-02-09 20:30:00.000,09/02/2021,Non Heinous,Pending Trial,Written,RIOTS,Others,15.440669,74.932888,"IPC 1860 U/s: 143,147,148,323,324,504,506,149,447,341 ",BORAMMA  MAGADUM (WPSI),2964140,,155900069,"At:Chikkamalligawad village, At:Chikkamalligawad village",West 7 km from ps,NEW BEAT 23,HIREMALLIGAWAD,1,0,0,0,0,0,5,0,0,0,5,0,2021000039,608,10452060820210024,1
Yadgir,Wadigere PS,0081/2023,1,2023,7,2023-07-18 08:45:00.000,2023-07-18 08:50:00.000,2023-07-19 18:30:00.000,19/07/2023,Non Heinous,Pending Trial,Written,RIOTS,Others,16.758604,77.137756,"IPC 1860 U/s: 143,147,504,324,323,506,149 ",Jaishree V  Hodal (PSI),2765307,,189400027,"Basaveshara Taruna Sanaga Nayabelle Angadi, Basaveshara Taruna Sanaga Nayabelle Angadi",At 20 Km East from Ps,BEAT 5,KONALLI,1,0,0,0,0,0,10,10,0,10,10,0,2023000159,1596,10978159620230081,-1
Mysuru Dist,Bettadapura PS,0144/2023,1,2023,7,2023-07-13 20:00:00.000,2023-07-13 20:30:00.000,2023-07-20 15:30:00.000,20/07/2023,Non Heinous,Pending Trial,Written,RIOTS,Others,12.326541,76.23156,"IPC 1860 U/s: 143,448,341,323,324,504,506,149,34 ",SWAMY NAIKA   (PSI),1247104,,88800004,"MARADURU VILLAGE, MARADURU VILLAGE",10.K M EAST TOWARDS TO PS,2nd VILLAGE BEAT,ATHIGODU VILLAGE,1,0,0,0,0,0,2,0,0,0,2,0,2023000183,1604,10459160420230144,-1
Belagavi Dist,Kulgod PS,0071/2019,1,2019,5,2019-05-30 09:30:00.000,2019-05-30 10:00:00.000,2019-05-31 17:00:00.000,31/05/2019,Non Heinous,False Case,Written,RIOTS,Others,16.169038,75.013436,"IPC 1860 U/s: 326,323,149,148,147,143,504,341,506 ",HANAMANT  NARALI (PSI),2224452,,139400159,"GOSABAL VILLAGE ARIA, GOSABAL VILLAGE ARIA",NARTH 15 KM,BEAT NO 3,BETAGERI,1,0,0,0,0,0,6,0,0,0,0,0,2019000127,1459,10444145920190071,-1
Uttara Kannada,Haliyal PS,0068/2021,1,2021,3,2021-03-14 12:30:00.000,2021-03-14 12:31:00.000,2021-03-20 21:15:00.000,20/03/2021,Non Heinous,Dis/Acq,Written,RIOTS,Others,15.238949,74.873477,"IPC 1860 U/s: 506,504,143,147,148,149,323,324 ",YALLALINGA KUNNUR   (PSI),120119921.0,,5400088,"HOSAVATNAL VILLAGE, HOSAVATNAL VILLAGE",21 KM EAST,45 RURAL BEAT,HOSAVATNAL,1,1,0,0,0,0,3,0,0,0,5,0,2021000088,1675,10460167520210068,-1
Belagavi Dist,Chikkodi PS,0082/2022,1,2022,4,2022-04-23 16:00:00.000,2022-04-23 16:01:00.000,2022-04-23 19:30:00.000,23/04/2022,Non Heinous,Pending Trial,Written,RIOTS,Others,16.394116,74.69807,"IPC 1860 U/s: 506,504,143,147,148,149,323,324 ",Yamanappa Mang   (PSI),2646807.0,,142500133,"AP-NAGARAMUNNOLI, AP-NAGARAMUNNOLI",TOWARDS EAST SIDE 15 KM,BEAT 33,NAGARAMUNNOLLI,1,4,0,0,0,0,6,0,0,0,5,0,2022000096,1478,10444147820220082,-1
Vijayapur,Adarsh Nagar PS,0047/2019,1,2019,6,2019-06-22 00:30:00.000,2019-06-22 00:35:00.000,2019-06-23 21:00:00.000,23/06/2019,Non Heinous,Undetected,Written,RIOTS,Others,16.872152,75.719864,"IPC 1860 U/s: 143,147,323,324,504,149 ",Smt. S. K. LANGOTI   (PSI),1335118.0,,149600009,"In Poornima Bar & Restorente, In Poornima Bar & Restorente",Towards North 2 KM Form PS,BEAT NO 2,ADARSH NAGAR,2,0,0,0,0,0,1,0,0,0,0,0,2019000080,1497,10447149720190047,2
