District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Chikkamagaluru,Chickmagalur Rural  PS,0004/2021,1,2021,1,2021-01-01 18:00:00.000,2021-01-01 18:05:00.000,2021-01-01 19:45:00.000,01/01/2021,Non Heinous,Other Disposal,Oral,RIOTS,Political,13.320515,75.837602,"IPC 1860 U/s: 324,149,148,147,143,504,341,326 ",SATISHA.A.M.   (HC),1872092,,45400018,"Berappa temple road Saganipura, Berappa temple road Saganipura",From ps east towards 5 kms,BEAT NO 22,kuruvangi,4,0,0,0,0,0,6,0,0,0,5,0,2021000004,454,10448045420210004,-1
Belagavi Dist,Bailahongal PS,0027/2021,1,2021,2,2021-02-04 14:00:00.000,2021-02-04 14:01:00.000,2021-02-04 21:15:00.000,04/02/2021,Non Heinous,False Case,Written,RIOTS,Political,15.762418,74.744261,"IPC 1860 U/s: 143,147,341,323,324,504,506,149 ",F M KARIGAR   (ASI),900491003.0,,146800010,"CHIKKABAGEWADI VILLAGE, CHIKKABAGEWADI VILLAGE",18 km away from ps towards west,17 CHIKKBAGEWADI,HALAGA,2,0,0,0,0,0,8,4,3,7,0,0,2021000044,1464,10444146420210027,-1
Bengaluru City,Adugodi PS,0099/2023,1,2023,5,2023-05-11 10:00:00.000,2023-05-11 10:30:00.000,2023-05-11 14:30:00.000,11/05/2023,Non Heinous,False Case,Written,RIOTS,Political,12.936861,77.603946,"IPC 1860 U/s: 504,143,147,149,323 ",Ravi Kumar C   (PI),1851727.0,,4600056,"Pooling booth near, Pooling booth near",From ps towards North 4km,BEAT 5,ADUGODI POLICE QUTRESS,1,0,0,0,0,0,8,0,0,0,0,0,2023000160,1382,10443138220230099,-1
Tumakuru,Tumakuru Town PS,0047/2023,1,2023,2,2023-02-24 23:00:00.000,2023-02-24 23:20:00.000,2023-02-25 19:30:00.000,25/02/2023,Non Heinous,Pending Trial,Written,RIOTS,Political,13.3418581,77.002453,"IPC 1860 U/s: 143,341,504,506,149 ",DINESH KUMAR.B.S   (PI),1962626,,107701719,"JC Road, old Market, JC Road, old Market",1.5 km west,04 Beat,MANDIPETE SOUTH,1,0,0,0,0,0,3,6,0,6,6,0,2023000076,1080,10464108020230047,-1
Belagavi Dist,Raibag PS,0211/2022,1,2022,9,2022-09-02 15:20:00.000,2022-09-02 15:25:00.000,2022-09-02 20:25:00.000,02/09/2022,Non Heinous,Pending Trial,Written,RIOTS,Political,16.432019,74.725444,"IPC 1860 U/s: 143,147,148,323,324,504,506,149 ",S S PUJERI   (WHC),900490652.0,,14820032,"At Mekhali in Complainant House, At Mekhali in Complainant House",South 10 Km  From PS,06 BEAT,MEKHALI,0,3,1,0,0,0,7,4,3,7,7,0,2022000315,1483,10444148320220211,-1
Bengaluru City,Jayanagar PS,0213/2018,1,2018,5,2018-05-30 11:45:00.000,2018-05-31 12:30:00.000,2018-05-31 20:20:00.000,31/05/2018,Heinous,False Case,Written,RIOTS,Political,12.915347,77.588448,"IPC 1860 U/s: 143,147,323,504,506,392,149 ",SHARANAMMA M H   (PSI),2840938,,137900108,"Opposite Mosque road, Marenahalli, Opposite Mosque road, Marenahalli",1.5KM Towards South East.,Beat 4,Fifth Block Jayanagar,3,0,0,0,0,0,3,0,0,0,0,0,2018000221,1372,10443137220180213,-1
Belagavi Dist,Nesargi PS,0062/2023,1,2023,7,2023-07-25 17:15:00.000,2023-07-25 17:16:00.000,2023-07-25 20:15:00.000,25/07/2023,Non Heinous,Pending Trial,Written,RIOTS,Political,15.914023,74.747071,"IPC 1860 U/s: 143,147,341,504,506,149,148,109 ",Yallappa  Shigihalli (PSI),2378745.0,,28900641,"AT-MOHARE VILLAGE, AT-MOHARE VILLAGE",TOWARDS WEST 4 KM,9 Beat,J K KOPPA,1,0,0,0,0,0,6,0,0,0,6,0,2023000110,1465,10444146520230062,-1
Bengaluru City,High Grounds PS,0063/2017,1,2017,4,2017-04-27 11:00:00.000,2017-04-27 11:20:00.000,2017-04-27 16:45:00.000,27/04/2017,Non Heinous,Pending Trial,Written,RIOTS,Political,13.002971,77.350369,"IPC 1860 U/s: 323,149,147,143,34,341 ",BHEEMSEN  GHATAGE (PSI),2840950.0,,139400162,"KINGS COURT, PALACEGROUNDS, KINGS COURT, PALACEGROUNDS",1.5 KMS TOWARDS NORTH WEST,BEAT 03,VASANTH NAGAR,0,0,0,0,0,0,2,2,0,2,2,0,2017000071,1394,10443139420170063,-1
Bengaluru City,Sanjay Nagar PS,0097/2018,1,2018,5,2018-05-14 16:30:00.000,2018-05-14 17:00:00.000,2018-05-14 18:40:00.000,14/05/2018,Non Heinous,Pending Trial,Sue-moto by Police,RIOTS,Political,13.0365,77.576764,"IPC 1860 U/s: 188,149,147,143 ",S. GEERESH NAIK   (PSI),2306224,,150700046,"Opp Anriya Palatial  Apt, Anjanamurty Layout, Opp Anriya Palatial  Apt, Anjanamurty Layout",2 KM NORTH TOWARDS PS,5 th Beat,H.I.G COLONY,1,0,0,0,0,0,1,0,0,0,1,0,2018000110,1353,10443135320180097,-1
Chikkamagaluru,Basavanahalli  PS,0048/2023,1,2023,5,2023-05-10 17:40:00.000,2023-05-10 18:00:00.000,2023-05-11 21:20:00.000,11/05/2023,Non Heinous,Pending Trial,Sue-moto by Police,RIOTS,Political,13.329572,75.770708,"IPC 1860 U/s: 160,149,147,143 ",Babuddin   (PSI),2856171,,44700230,"VIJAYAPURA, VIJAYAPURA",1 K M WEST FROM THE PS,BEAT NO 2,VIJAYPURA,1,0,0,0,0,0,16,0,0,0,12,0,2023000113,451,10448045120230048,-1
Mysuru Dist,Nanjanagudu Rural PS,0120/2019,1,2019,8,2019-08-04 08:00:00.000,2019-08-04 08:01:00.000,2019-08-04 20:00:00.000,04/08/2019,Non Heinous,Pending Trial,Oral,RIOTS,Political,11.982794,76.556586,"IPC 1860 U/s: 143,147,148,341,504,324,323,506,149 ",SHIVANANJASHETTY   (PI),1547118,,88800019,"Depegowdanapura Village, Depegowdanapura Village",25 KM South,8 th Vilage Beat,HUNASANALU,4,0,0,0,0,0,6,0,0,0,6,0,2019000271,902,10459090220190120,-1
Bengaluru Dist,Thirumalashettahalli PS,0080/2023,1,2023,5,2023-05-13 13:45:00.000,2023-05-13 13:50:00.000,2023-05-13 16:15:00.000,13/05/2023,Non Heinous,Pending Trial,Written,RIOTS,Political,13.011482,77.864204,"IPC 1860 U/s: 143,147,148,323,324,506,149,326 ",NARAYANA SWAMY   (PSI),127691,,22300050,"Kamarasanahalli Village, Kamarasanahalli Village",12 KM North To PS,BEAT  4,KHAJIHOSAHALLI,1,1,0,0,0,0,12,0,0,0,12,0,2023000139,1811,10442181120230080,-1
Kodagu,Madikeri Town PS,0034/2022,1,2022,8,2022-08-18 14:30:00.000,2022-08-18 14:35:00.000,2022-08-19 06:00:00.000,19/08/2022,Non Heinous,Under Investigation,Written,RIOTS,Political,12.418203,75.740617,"IPC 1860 U/s: 506,120B,339,341,340,141,355,158,146,147,151,149 ",LOKESH   (PSI),1719769.0,,57000020,"General Thimmaiah Circle, General Thimmaiah Circle",0.5 KM East Towards,TOWN BEAT 4,JUNIOR COLLEGE ROAD,1,0,0,0,0,0,9,7,1,8,0,0,2022000059,569,10451056920220034,-1
