District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Raichur,Maski PS,0081/2020,1,2020,9,2020-09-08 18:00:00.000,2020-09-08 18:05:00.000,2020-09-08 21:00:00.000,08/09/2020,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,16.063225,76.610705,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",RAGHAVENDRA   (PSI),1103333,,99000022,"BASAPUR VEERABDRAS HOTEL, BASAPUR VEERABDRAS HOTEL",TOWARDS NORTH 13 KM FROM PS,V Beat 8,Gonvar,0,0,0,0,0,0,1,1,0,1,1,0,2020000113,989,10461098920200081,-1
Raichur,Netajinagar PS,0028/2020,1,2020,4,2020-04-27 17:30:00.000,2020-04-27 18:30:00.000,2020-04-27 19:00:00.000,27/04/2020,Non Heinous,Dis/Acq,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,16.198101,77.362026,"IPC 1860 U/s: 284,273 KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",P.NAGARAJ   (PSI),1102252,,96200037,"KOTTAPER AREA, KOTTAPER AREA",TOWARDS 2 KM WEST,BEAT 04,B.R.B CIRCLE,0,0,0,0,0,0,1,2,0,2,2,0,2020000031,962,10461096220200028,-1
Raichur,Devadurga PS,0058/2020,1,2020,4,2020-04-10 16:55:00.000,2020-04-10 17:00:00.000,2020-04-10 19:00:00.000,10/04/2020,Non Heinous,Pending Trial,Written,Karnataka State Local Act,Karnataka Excise Act 1965,16.39062,76.956353,"IPC 1860 U/s: 284,273 KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",K.RANGAIAH   (PSI),1942584,,99000009,"PUBLIC PLACE AT SASVIGERA TANDA (SASVIGERA), PUBLIC PLACE AT SASVIGERA TANDA (SASVIGERA)",SOUTH 08 KM FROM PS,BEAT2,Kotigudda,0,0,0,0,0,0,2,2,0,2,2,0,2020000074,992,10461099220200058,-1
Raichur,Lingasugur PS,0176/2019,1,2019,7,2019-07-26 16:30:00.000,2019-07-26 17:30:00.000,2019-07-26 18:00:00.000,26/07/2019,Non Heinous,Dis/Acq,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,16.195355,76.448616,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",K.RAMARAO   (HC),1103214,,98500024,"Yaragunti Village Near Halabhavi Cross, Yaragunti Village Near Halabhavi Cross",12 Kms West From ps,6,HALABHAVI,0,0,0,0,0,0,1,1,0,1,1,0,2019000312,985,10461098520190176,-1
Raichur,Idapanur PS,0007/2024,1,2024,1,2024-01-30 15:00:00.000,2024-01-30 16:00:00.000,2024-01-30 16:30:00.000,30/01/2024,Non Heinous,Under Investigation,Written,Karnataka State Local Act,Karnataka Excise Act 1965,16.004244,77.462759,"KARNATAKA EXCISE ACT, 1965 U/s: 32,34 ",NARASIMHALU   (HC),1393891,,96300035,"Chikkamanchali Village  Public Road, Chikkamanchali Village  Public Road",11 KMS TOWARDS  SOUTH,11,Chikkamanchali,0,0,0,0,0,0,1,0,0,0,1,0,2024000007,970,10461097020240007,-1
Raichur,Shakti Nagar PS,0003/2024,1,2024,1,2024-01-16 21:30:00.000,2024-01-16 22:30:00.000,2024-01-16 22:45:00.000,16/01/2024,Non Heinous,Under Investigation,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,16.367386,77.350666,"KARNATAKA EXCISE ACT, 1965 U/s: 15(A),32(3) ",EASHAPPA   (HC),1652420,,97000012,"Behind Helipad Ground, Behind Helipad Ground",1 KM South From ps,1,Deosugur,0,0,0,0,0,0,7,0,0,0,0,0,2024000004,965,10461096520240003,-1
Raichur,Devadurga PS,0119/2022,1,2022,5,2022-05-19 17:00:00.000,2022-05-19 18:00:00.000,2022-05-19 18:15:00.000,19/05/2022,Non Heinous,Pending Trial,Written,Karnataka State Local Act,Karnataka Excise Act 1965,16.424165,76.917165,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",KHAJA HUSSAIN   (ASI),1263169,,96700010,"NEAR SHANKAR BANDI CROSS PUBLIC PLACE DEODURGA, NEAR SHANKAR BANDI CROSS PUBLIC PLACE DEODURGA",WEST 2 KM FROM PS,BEAT14,DEODURGA,0,0,0,0,0,0,1,0,0,0,1,0,2022000152,992,10461099220220119,-1
Raichur,Maski PS,0039/2023,1,2023,4,2023-04-09 17:20:00.000,2023-04-09 17:25:00.000,2023-04-09 20:45:00.000,09/04/2023,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,15.959766,76.658359,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",HULAGEPPA   (ASI),2531881,,95800288,"TALEKHAN VALMIKI CIRCAL, TALEKHAN VALMIKI CIRCAL",TOWARDS WEST 20 KM FROM PS,V BEAT 1,Talekhan,0,0,0,0,0,0,1,1,0,1,1,0,2023000122,989,10461098920230039,-1
Raichur,Mudgal PS,0034/2021,1,2021,3,2021-03-15 07:10:00.000,2021-03-15 07:20:00.000,2021-03-15 08:45:00.000,15/03/2021,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,16.028644,76.387554,"IPC 1860 U/s: 284,273 KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",ANEES   (ASI),1103403,,98500004,"BAGADITANDA ACCUSED HOUSE PRENT, BAGADITANDA ACCUSED HOUSE PRENT",TOWARDS 8KM WEST IN PS,Beat 7,kannaprahatti,0,0,0,0,0,0,1,0,0,0,1,0,2021000039,990,10461099020210034,-1
Raichur,Sadar Bazar PS,0021/2019,1,2019,3,2019-03-24 10:10:00.000,2019-03-24 10:15:00.000,2019-03-24 11:30:00.000,24/03/2019,Non Heinous,Dis/Acq,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,16.201474,77.358513,"IPC 1860 U/s: 284,273 KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",MD.FASIUDDIN   (PI),1749591,,10300015,"BAJIRAYA RICE MILL ROAD, MANGALAWARAPETE AREA, BAJIRAYA RICE MILL ROAD, MANGALAWARAPETE AREA","TOWARDS EAST, 1 FURLONG",BEAT 1,MANGALWAR PET,0,0,0,0,0,0,1,1,0,1,1,0,2019000147,961,10461096120190021,-1
