District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Shivamogga,Tunga Nagar PS,0420/2019,1,2019,10,2019-10-24 18:15:00.000,2019-10-24 19:15:00.000,2019-10-24 19:40:00.000,24/10/2019,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.923033,75.530553,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",BHARATHI.B.H   (PSI),1412574,,152600010,"Mandara School Back Public place, Mandara School Back Public place",04 KM West,1 st  BEAT,GADIKOPPA,0,1,0,0,0,0,6,0,0,0,6,6,2019000522,1815,10462181520190420,-1
Shivamogga,Shikaripura Rural PS,0172/2019,1,2019,7,2019-07-16 17:30:00.000,2019-07-16 18:45:00.000,2019-07-16 19:30:00.000,16/07/2019,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),14.284543,75.391555,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",RAVIKUMAR.A   (PSI),1916235,,103500027,"VADDIGERE THANDA, VADDIGERE THANDA","8 K,M TOWARDS EAST",7th Beat,Muddanahalli,0,0,0,0,0,0,7,7,0,7,7,7,2019000228,1886,10462188620190172,-1
Shivamogga,Shikaripura Rural PS,0012/2020,1,2020,1,2020-01-16 16:00:00.000,2020-01-16 17:05:00.000,2020-01-16 18:00:00.000,16/01/2020,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),14.263597,75.492845,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",DHANALAKSHMI   (WHC),1916311,,166400007,"MARAVALLI VILLAGE, MARAVALLI VILLAGE",25 KM TOWARDS EAST,6th Beat,Hosanagara,0,0,0,0,0,0,5,5,0,5,5,5,2020000013,1886,10462188620200012,-1
Shivamogga,Shikaripura Rural PS,0123/2021,1,2021,6,2021-06-28 10:00:00.000,2021-06-28 10:15:00.000,2021-06-28 11:30:00.000,28/06/2021,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),14.211927,75.338172,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",Nagappa Yellappa Olekar (PSI),1202492,,15100055,"Esuru Village, Esuru Village","12 K,M Towards South",1st Beat,Hithla,0,0,0,0,0,0,8,0,0,0,8,8,2021000162,1886,10462188620210123,-1
Shivamogga,Shiralakoppa PS,0273/2023,1,2023,12,2023-12-05 18:30:00.000,2023-12-05 19:00:00.000,2023-12-05 22:00:00.000,05/12/2023,Non Heinous,Under Investigation,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),14.357521,75.254207,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",VEERESHA S   (ASI),1916286,,103100059,"In public Place nilagiri plantation Near Udugani, In public Place nilagiri plantation Near Udugani",Towards 04 KM South,BEAT 5,BELAVANTHANAKOPPA,0,0,0,0,0,0,7,0,0,0,7,0,2023000402,1032,10462103220230273,-1
Shivamogga,Tunga Nagar PS,0309/2019,1,2019,7,2019-07-14 17:00:00.000,2019-07-14 19:00:00.000,2019-07-14 23:00:00.000,14/07/2019,Non Heinous,Convicted,Others,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.92028,75.506962,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",BHARATHI.B.H   (PSI),1412574,,152600010,"Puradal Road, Puradal Road",5 km,1 st  BEAT,GADIKOPPA,1,0,0,0,0,0,7,0,0,0,7,2,2019000369,1815,10462181520190309,-1
Shivamogga,Doddapete PS,0067/2019,1,2019,3,2019-03-05 16:30:00.000,2019-03-05 16:45:00.000,2019-03-05 18:00:00.000,05/03/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.925638,75.569697,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",M Y SHANKARMURTHY   (PSI),884197,,100000045,"NEAR TAXI STAND, NEAR TAXI STAND",0.5 KM FROM PS,BEAT 05,GARDEN AREA,1,0,0,0,0,0,6,0,0,0,6,6,2019000075,1000,10462100020190067,-1
Shivamogga,Vinobanagara PS,0245/2023,1,2023,12,2023-12-09 17:15:00.000,2023-12-09 17:30:00.000,2023-12-09 19:15:00.000,09/12/2023,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.94061,75.55002,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",Sunil Bhavihal Chandrappa (PSI),3104943,,188700053,"RMC Yard Banuvalli Areca net Mandi front, RMC Yard Banuvalli Areca net Mandi front",2 km to words west,Beat No 1,RMC YARD VINOBNAGARA SHIMOGA,1,0,0,0,0,0,4,0,0,0,4,4,2023000306,1887,10462188720230245,-1
Shivamogga,Shikaripura Rural PS,0119/2020,1,2020,6,2020-06-27 11:30:00.000,2020-06-27 11:45:00.000,2020-06-27 14:00:00.000,27/06/2020,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),14.165323,75.384763,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",K.S.SHOBHARANI   (PSI),1457779,,188600006,"MATTIGHATTA FOREST, MATTIGHATTA VILLAGE, MATTIGHATTA FOREST, MATTIGHATTA VILLAGE","16 K,M TOWARDS SOUTH",2nd Beat,Anjanapura,0,0,0,0,0,0,9,0,0,0,9,0,2020000172,1886,10462188620200119,-1
Shivamogga,Tunga Nagar PS,0072/2024,1,2024,2,2024-02-20 18:15:00.000,2024-02-20 19:00:00.000,2024-02-20 19:30:00.000,20/02/2024,Non Heinous,Under Investigation,Judicial/Magistrate reference,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.524547,75.365845,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",ARUN CHANDRA   (HC),1918356,,200700023,"Puradal Village, Puradal Village",To words 08 KM West From PS,1 st  BEAT,GADIKOPPA,1,0,0,0,0,0,7,0,0,0,7,0,2024000088,1815,10462181520240072,-1
