District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Shivamogga,Shivamogga West Traffic PS,0149/2023,1,2023,10,2023-10-23 20:00:00.000,2023-10-23 20:01:00.000,2023-10-24 13:00:00.000,24/10/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.929748,75.572311,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3(1),181,5(1),180,146,196,56,192 THE CENTRAL MOTOR VEHICLES RULES, 1989 U/s: 115 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 190(2) ",ASHOKA K.V   (HC),1916218,,100000023,"Opp. SBI Bank, B.H. Road Shimoga, Opp. SBI Bank, B.H. Road Shimoga",500 meter towards east from the ps,BEAT1,ASHOKA CIRCLE,1,0,0,0,0,0,2,0,0,0,2,0,2023000149,1001,10462100120230149,0
Shivamogga,Soraba PS,0105/2023,1,2023,5,2023-05-22 18:30:00.000,2023-05-22 18:35:00.000,2023-05-31 18:00:00.000,31/05/2023,Non Heinous,Undetected,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.312768,75.0405,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,134(a&b) ",NAGARAJA H N   (PSI),2745675,,99700197,"Kodanakatte Village, Kodanakatte Village",To words 17 K M eist From Ps,BEAT 6,Jedigere,1,1,0,0,0,0,0,0,0,0,0,0,2023000135,1033,10462103320230105,-1
Shivamogga,Shikaripura Rural PS,0043/2019,1,2019,2,2019-02-09 15:30:00.000,2019-02-09 15:40:00.000,2019-02-09 18:30:00.000,09/02/2019,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.293867,75.330122,"IPC 1860 U/s: 337,279 ",RAJAPPA C   (ASI),1179674,,166400026,"AMBARAGOPPA VILLAGE, AMBARAGOPPA VILLAGE",06 KM TOWARDS NORTH,5th Beat,Tumari Hosuru,1,0,0,0,0,0,1,0,0,0,1,0,2019000054,1886,10462188620190043,-1
Shivamogga,Shiralakoppa PS,0081/2019,1,2019,6,2019-06-25 08:30:00.000,2019-06-25 08:31:00.000,2019-06-25 10:15:00.000,25/06/2019,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.433357,75.256148,"IPC 1860 U/s: 279,337,338 ",RAMESHA T   (PSI),1916193,,100200030,"Bilaki to Shiralakoppa road near kanalli Village, Bilaki to Shiralakoppa road near kanalli Village",6 km south.,BEAT 2,JAVAGATTE,2,0,0,0,0,0,1,1,0,1,1,1,2019000124,1032,10462103220190081,-1
Shivamogga,Shivamogga West Traffic PS,0112/2019,1,2019,9,2019-09-06 14:00:00.000,2019-09-06 14:01:00.000,2019-09-06 20:15:00.000,06/09/2019,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.944724,75.560382,"IPC 1860 U/s: 279,338 ",BHARATH KUMAR D R   (PI),2285470,,107600321,"SHUBHA MANGALA, SHUBHA MANGALA",3 KM NORTH TOWARDS PS,BEAT4,LAKSHMI TALKIEES CIRCLE,1,0,0,0,0,0,1,0,0,0,1,1,2019000112,1001,10462100120190112,0
Shivamogga,Holehonnur PS,0191/2023,1,2023,7,2023-07-17 18:00:00.000,2023-07-17 18:05:00.000,2023-07-19 12:15:00.000,19/07/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.952465,75.743215,"IPC 1860 U/s: 337,279,338 ",KRISHNANAIK N   (ASI),1706423,,100100019,"Near Gururaj House Gudrukoppa Village, Near Gururaj House Gudrukoppa Village",15 K M Towards West,BEAT 7,KAIMARA,1,1,0,0,0,0,1,0,0,0,1,0,2023000262,1019,10462101920230191,-1
Shivamogga,Anavatti PS,0090/2019,1,2019,5,2019-04-17 12:30:00.000,2019-04-17 13:00:00.000,2019-05-27 18:00:00.000,27/05/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.610906,75.150835,"IPC 1860 U/s: 279,337,338 ",MURTHY R B   (HC),900555804.0,,174500066,"Agasanahalli Village, Agasanahalli Village",To Words 10 KM Narth From PS,Beat 1,ANAVATTI TOWN,1,0,0,0,0,0,1,0,0,0,1,1,2019000119,1664,10462166420190090,-1
Shivamogga,Shivamogga West Traffic PS,0043/2023,1,2023,4,2023-04-03 14:30:00.000,2023-04-03 14:31:00.000,2023-04-03 19:30:00.000,03/04/2023,Non Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.95054,75.559222,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3(1),5(1),180,181 IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 51,177 THE CENTRAL MOTOR VEHICLES RULES, 1989 U/s: 51 ",RAVI J   (HC),5701542,,102300033,"Vinobangara, 100 Feet Road, Opp. Patel Hardware, Vinobangara, 100 Feet Road, Opp. Patel Hardware",3 km North Towards From the PS,BEAT4,LAKSHMI TALKIEES CIRCLE,0,1,0,0,0,0,2,0,0,0,2,0,2023000043,1001,10462100120230043,0
Shivamogga,Sagar Rural PS,0233/2019,1,2019,6,2019-06-09 09:00:00.000,2019-06-09 09:05:00.000,2019-06-10 10:00:00.000,10/06/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.229364,75.173217,IPC 1860 U/s: 279 ,GIREESH B C   (PI),2153896,,48100031,"NEAR JAMBANI CROSS, JAMBANI VILLAGE, NEAR JAMBANI CROSS, JAMBANI VILLAGE",24 K.M NORTH,13,ADDERI,0,0,0,0,0,0,1,0,0,0,1,1,2019000267,1023,10462102320190233,-1
Shivamogga,Paper Town PS,0013/2019,1,2019,1,2019-01-20 22:45:00.000,2019-01-20 22:50:00.000,2019-01-22 11:15:00.000,22/01/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.797635,75.691632,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181(3),181 ",SHILPA  NAYANEGALI (PSI),2745673,,99700195,"Balemaranahalli And Thimalapura Centor Road, Balemaranahalli And Thimalapura Centor Road",Towards South 4 KM,BEAT NO 01,BOMMANAKATTE,1,0,0,0,0,0,2,0,0,0,2,2,2019000014,1020,10462102020190013,-1
Shivamogga,Shivamogga West Traffic PS,0025/2024,1,2024,2,2024-02-16 11:00:00.000,2024-02-16 11:01:00.000,2024-02-18 13:00:00.000,18/02/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.941273,75.550129,"IPC 1860 U/s: 337,279 ",RAVI J   (HC),5701542,,102300033,"Inside of APMC, Near Way Bridge, Inside of APMC, Near Way Bridge",02 KM West Towards from the PS,BEAT4,LAKSHMI TALKIEES CIRCLE,0,1,0,0,0,0,1,0,0,0,0,0,2024000025,1001,10462100120240025,0
Shivamogga,Shivamogga West Traffic PS,0123/2023,1,2023,9,2023-09-13 00:15:00.000,2023-09-13 00:16:00.000,2023-09-14 18:00:00.000,14/09/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.924992,75.552078,IPC 1860 U/s: 279 ,RAVI J   (HC),5701542,,102300033,"Opp. Masjid, 100 Feet Road, Tunganagara, Opp. Masjid, 100 Feet Road, Tunganagara",South 3 km Towards From the PS,BEAT5,GOPALA,1,0,0,0,0,0,1,0,0,0,1,0,2023000123,1001,10462100120230123,0
Shivamogga,Shivamogga West Traffic PS,0022/2024,1,2024,2,2024-02-13 14:00:00.000,2024-02-13 14:01:00.000,2024-02-13 15:30:00.000,13/02/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.952467,75.574481,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 146,196 ",RAVI J   (HC),5701542,,102300033,"Opp Complanaint House, LBS Nagara Main Road, Opp Complanaint House, LBS Nagara Main Road",3.5 KM North Towards from the PS,BEAT3,MAHAVEERA CIRCLE,1,0,0,0,0,0,2,0,0,0,2,0,2024000022,1001,10462100120240022,0
Shivamogga,Anavatti PS,0046/2019,1,2019,3,2019-03-14 18:30:00.000,2019-03-14 18:40:00.000,2019-03-15 16:00:00.000,15/03/2019,Non Heinous,Undetected,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.577863,75.094103,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),187 ",RAJUREDDY B   (PSI),2340361.0,,131400196,"Lakkavalli Jain Mata Village, Lakkavalli Jain Mata Village",To Words 10 Km Narth From Ps,Beat 1,ANAVATTI TOWN,1,0,0,0,0,0,0,0,0,0,0,0,2019000061,1664,10462166420190046,-1
Shivamogga,Anavatti PS,0140/2019,1,2019,9,2019-09-10 21:00:00.000,2019-09-10 21:30:00.000,2019-09-11 20:00:00.000,11/09/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.631276,75.106546,"IPC 1860 U/s: 279,337,338 ",Siddesh M L   (HC),19685530.0,,166400057,"Shakunavalli Hosuru Road Shakuvalli Village, Shakunavalli Hosuru Road Shakuvalli Village",To words 15 KM Narth From PS,Beat 7,KODIKOPPA VILLAGE,1,0,0,0,0,0,1,0,0,0,1,1,2019000182,1664,10462166420190140,-1
Shivamogga,Tunga Nagar PS,0042/2019,1,2019,1,2019-01-18 06:00:00.000,2019-01-18 06:01:00.000,2019-01-18 14:10:00.000,18/01/2019,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.830451,75.567401,"IPC 1860 U/s: 337,279,338 ",V VIJAYALAKSHMI   (WHC),1919084,,100500070,"Kadekal village Bhadregowda Shed Near, Kadekal village Bhadregowda Shed Near",12 Kms South of ps,3rd BEAT,MALALIKOPPA,1,0,0,0,0,0,1,0,0,0,1,1,2019000044,1815,10462181520190042,0
Shivamogga,Bhadravathi Traffic PS,0012/2024,1,2024,2,2024-02-17 10:00:00.000,2024-02-17 10:05:00.000,2024-02-19 18:30:00.000,19/02/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.844334,75.697026,"IPC 1860 U/s: 337,279 ",BHARATHI.B.H   (PSI),1412574,,152600010,"ON thi New Bridge, ON thi New Bridge",1 K M North from P S,2 nd Beet,Vinayaka talkies,1,0,0,0,0,0,1,0,0,0,0,0,2024000012,1015,10462101520240012,-1
Shivamogga,Shivamogga West Traffic PS,0130/2023,1,2023,9,2023-09-02 05:18:00.000,2023-09-02 05:19:00.000,2023-09-18 13:00:00.000,18/09/2023,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.961917,75.552709,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),187 ",ASHOKA K.V   (HC),1916218,,100000023,"Opp.Smart Point, Sominakoppa Road, Opp.Smart Point, Sominakoppa Road",5 km North Towards form the PS,BEAT4,LAKSHMI TALKIEES CIRCLE,1,0,0,0,0,0,1,0,0,0,0,0,2023000130,1001,10462100120230130,0
Shivamogga,Shivamogga West Traffic PS,0160/2023,1,2023,11,2023-11-11 14:15:00.000,2023-11-11 14:16:00.000,2023-11-11 18:30:00.000,11/11/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.95034,75.560353,IPC 1860 U/s: 279 ,NAGARAJA C   (HC),1918384,,174500074,"Near Vinobanagara police Station, Police chowki, Near Vinobanagara police Station, Police chowki",2.5 km north towards from the ps,BEAT4,LAKSHMI TALKIEES CIRCLE,1,0,0,0,0,0,1,0,0,0,1,0,2023000160,1001,10462100120230160,0
Shivamogga,Shikaripura Rural PS,0001/2019,1,2019,1,2019-01-02 19:30:00.000,2019-01-02 19:35:00.000,2019-01-03 11:15:00.000,03/01/2019,Non Heinous,Other Disposal,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.175193,75.348198,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",K.S.SHOBHARANI   (PSI),1457779,,188600006,"HITHALA VILLAGE, HITHALA VILLAGE","16 K,M TOWARDS SOUTH",1st Beat,Hithla,1,0,0,0,0,0,1,0,0,0,1,0,2019000001,1886,10462188620190001,-1
Shivamogga,Sagar Town PS,0291/2023,1,2023,12,2023-12-22 13:45:00.000,2023-12-22 13:50:00.000,2023-12-23 17:30:00.000,23/12/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.17904,75.02792,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181 ",SEETHARAMA J.B.   (PI),1338177,,94400036,"INFRONT OF VIDYARANYA SCHOOL, INFRONT OF VIDYARANYA SCHOOL",01 KM NORTH,08,SAGAR TOWN,1,0,0,0,0,0,2,0,0,0,2,0,2023000426,1022,10462102220230291,-1
Shivamogga,Shivamogga West Traffic PS,0008/2023,1,2023,1,2023-01-10 21:00:00.000,2023-01-10 21:01:00.000,2023-01-16 18:30:00.000,16/01/2023,Non Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.963357,75.564469,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 190(2) THE CENTRAL MOTOR VEHICLES RULES, 1989 U/s: 115 ",MANJUNATHA N   (ASI),1178576,,102300010,"Near Nandi Medical, Bommanakatte Main Raod,, Near Nandi Medical, Bommanakatte Main Raod,",4 KM North  Towards from the PS,BEAT4,LAKSHMI TALKIEES CIRCLE,2,0,0,0,0,0,1,0,0,0,1,0,2023000008,1001,10462100120230008,0
Shivamogga,Bhadravathi Traffic PS,0016/2020,1,2020,3,2020-03-05 11:00:00.000,2020-03-05 11:01:00.000,2020-03-05 20:50:00.000,05/03/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.847785,75.705602,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181,187,192(A) ",E.KAVITHA   (PSI),1457897,,99700038,"BOOTHANAGUDI AREA NETHAJI CIRCLE, BOOTHANAGUDI AREA NETHAJI CIRCLE",3 KM NORTH,3 Beet,maruthinagara,1,0,0,0,0,0,2,0,0,0,2,2,2020000016,1015,10462101520200016,-1
Shivamogga,Shivamogga West Traffic PS,0058/2023,1,2023,5,2023-05-10 13:00:00.000,2023-05-10 13:01:00.000,2023-05-11 13:30:00.000,11/05/2023,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.94782,75.55769,"IPC 1860 U/s: 279,338 ",NAGARAJA C   (HC),1918384,,174500074,"Near 11th Cross, 60 Feet Road, Vinobanagar, Near 11th Cross, 60 Feet Road, Vinobanagar",2 km tTwards North From The PS,BEAT4,LAKSHMI TALKIEES CIRCLE,1,0,0,0,0,0,1,0,0,0,1,1,2023000058,1001,10462100120230058,0
Shivamogga,Tunga Nagar PS,0267/2019,1,2019,6,2019-06-09 15:35:00.000,2019-06-09 15:40:00.000,2019-06-22 17:30:00.000,22/06/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.869956,75.567144,"IPC 1860 U/s: 279,337,338 ",BHARATHI.B.H   (PSI),1412574,,152600010,"Near Bridge mathuru Village, Near Bridge mathuru Village",08 Km East,3rd BEAT,MALALIKOPPA,1,0,0,0,0,0,1,0,0,0,1,1,2019000320,1815,10462181520190267,0
Shivamogga,Shivamogga West Traffic PS,0092/2022,1,2022,8,2022-08-14 18:30:00.000,2022-08-14 18:31:00.000,2022-08-15 00:10:00.000,15/08/2022,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.93255607384,75.57061369882301,"IPC 1860 U/s: 279,337,338 ",NAGARAJA C   (HC),1918384,,174500074,"Savaralain Road to LLR Road Cross, Savaralain Road to LLR Road Cross",1 Km  North Towards From  the PS,BEAT1,ASHOKA CIRCLE,1,1,0,0,0,0,1,0,0,0,1,1,2022000092,1001,10462100120220092,0
Shivamogga,Anavatti PS,0010/2024,1,2024,1,2024-01-23 20:45:00.000,2024-01-23 20:50:00.000,2024-01-25 13:00:00.000,25/01/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.647062,75.087638,"IPC 1860 U/s: 338,337,279 ",ANANDA KUMAR H   (ASI),1374529.0,,100400011,"Bilagali- Hosuru Road, Near Bheerappa's Matti, Bilagali- Hosuru Road, Near Bheerappa's Matti",Towards 16 KM West to PS,Beat 7,KODIKOPPA VILLAGE,2,0,0,0,1,0,1,0,0,0,0,0,2024000015,1664,10462166420240010,-1
