District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Kodagu,Shanivarasanthe PS,0005/2021,1,2021,1,2021-01-04 22:30:00.000,2021-01-05 07:30:00.000,2021-01-05 15:00:00.000,05/01/2021,Non Heinous,Other Disposal,Written,THEFT,Of Automobiles - Of Cars/Jeeps,12.797969,75.888674,"IPC 1860 U/s: 379,75 ",PARASHIVA MURTHY S   (PI),1737807,,68200105,"Muncipality road, Muncipality road",10 km North,Beat,Kodlipet,1,0,0,0,0,0,2,2,0,2,2,0,2021000005,592,10451059220210005,-1
Tumakuru,New Extention PS,0007/2024,1,2024,1,2024-01-09 17:00:00.000,2024-01-10 17:00:00.000,2024-01-12 12:00:00.000,12/01/2024,Non Heinous,Under Investigation,Online,THEFT,Of Automobiles - Of Cars/Jeeps,13.332263,77.110647,IPC 1860 U/s: 379 ,VIDYASHREE H D   (PSI),2669497,,109800118,"Public Road 02nd Cross SS Pura, Public Road 02nd Cross SS Pura",Towards South 1 Kms,BEAT 1,MC COLONY,1,0,0,0,0,0,1,0,0,0,0,0,2024000008,1085,10464108520240007,-1
Bengaluru City,Byatarayanapura  PS,0351/2019,1,2019,10,2019-10-04 22:30:00.000,2019-10-05 07:30:00.000,2019-10-06 15:30:00.000,06/10/2019,Heinous,Pending Trial,Written,THEFT,Of Automobiles - Of Cars/Jeeps,12.9525070688939,77.5382826656041,IPC 1860 U/s: 379 ,LINGARAJ   (PI),1895517.0,,124200017,"In Front of House No.405, 1st  Main, 2nd Cross,, In Front of House No.405, 1st  Main, 2nd Cross,",1.0 KM Towards North,Beat 8,Kavika New Layout,1,0,0,0,0,0,0,2,0,2,2,0,2019000456,1418,10443141820190351,0
Bengaluru City,Rajajinagar PS,0207/2016,1,2016,12,2016-11-30 22:30:00.000,2016-12-01 06:00:00.000,2016-12-01 11:00:00.000,01/12/2016,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Cars/Jeeps,12.990181320972,77.5529282783596,IPC 1860 U/s: 379 ,MANJU H.A   (PI),1732680.0,,3100844,"NO.205/A, 55TH CROSS, 4TH BLOCK, NEAR ABC PARK, NO.205/A, 55TH CROSS, 4TH BLOCK, NEAR ABC PARK",1.2 KM TOWARDS SOUTH FROM PS,BEAT 4,FOURTH BLOCK,0,0,0,0,0,0,0,0,0,0,0,0,2016000229,1360,10443136020160207,0
Bengaluru City,K.R. Puram PS,0028/2021,1,2021,2,2021-01-28 00:03:00.000,2021-01-28 01:00:00.000,2021-02-11 19:50:00.000,11/02/2021,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Cars/Jeeps,13.01037,77.70276,IPC 1860 U/s: 379 ,VANDANA  ASHOK KALAGUDI (WPSI),2925644,,140500181,"K V MUNIYAPPA GARDEN 5TH MAIN ROAD, K V MUNIYAPPA GARDEN 5TH MAIN ROAD",2 KM TOWARDS SOUTH,BEAT 7,V.B. LAYOUT,0,0,0,0,0,0,0,0,0,0,0,0,2021000043,1405,10443140520210028,0
Bengaluru Dist,Sarjapura PS,0129/2019,1,2019,7,2019-07-10 10:00:00.000,2019-07-11 09:00:00.000,2019-07-11 11:30:00.000,11/07/2019,Heinous,Undetected,Written,THEFT,Of Automobiles - Of Cars/Jeeps,12.879432,77.753603,IPC 1860 U/s: 379 ,DODDAIAH L V   (PSI),819501.0,,133200005,"opp veterinary hospital, dommasandra, opp veterinary hospital, dommasandra",west 6 km,4 BEAT,DOMMASANDRA,1,0,0,0,0,0,0,0,0,0,0,0,2019000202,1334,10442133420190129,-1
Dharwad,Alnavar PS,0068/2022,1,2022,8,2022-08-08 13:15:00.000,2022-08-08 18:30:00.000,2022-08-10 13:30:00.000,10/08/2022,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Cars/Jeeps,15.431437,74.738734,IPC 1860 U/s: 379 ,HEBBALLI G H   (HC),1204515,,61000015,"IN ALNAVAR BUS STOP, IN ALNAVAR BUS STOP",SOUTH SIDE 100 MTRS,BEAT NO 5,ALNAVAR,1,0,0,0,0,0,1,0,0,0,0,0,2022000106,610,10452061020220068,-1
Bengaluru City,Basaveshwara Nagar PS,0086/2020,1,2020,6,2020-06-10 16:00:00.000,2020-06-10 21:00:00.000,2020-06-17 16:00:00.000,17/06/2020,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Cars/Jeeps,12.9958236062563,77.5354849168588,IPC 1860 U/s: 379 ,KRISHNAMURTHY ML   (PI),1895607,,28600002,"No-89.Gayathri H B S lAYOUT, No-89.Gayathri H B S lAYOUT",5 K M FROM BWPS,14,FIFTEENTH MAIN BW NAGAR,1,0,0,0,0,0,0,0,0,0,0,0,2020000107,1426,10443142620200086,0
Bengaluru City,Nandini Layout PS,0196/2019,1,2019,5,2019-05-02 22:00:00.000,2019-05-03 08:00:00.000,2019-05-23 18:30:00.000,23/05/2019,Non Heinous,Pending Trial,Written,THEFT,Of Automobiles - Of Cars/Jeeps,13.00979254,77.54260257,IPC 1860 U/s: 379 ,LAKSHMAN C   (PI),1733104,,142800067,"No-119, 6th Cross, Ganesha Block, No-119, 6th Cross, Ganesha Block",Towards 1 km East To PS,Beat 5,PANCHMUKHI GANESH TEMPLE,1,0,0,0,0,0,3,1,0,1,3,0,2019000289,1363,10443136320190196,0
Kodagu,Madikeri Town PS,0015/2020,1,2020,2,2020-02-18 11:00:00.000,2020-02-18 13:00:00.000,2020-02-18 18:45:00.000,18/02/2020,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Cars/Jeeps,12.420778,75.738449,IPC 1860 U/s: 379 ,ANTHIMA M T   (PSI),2462211,,56600432,"COURT PREMISES, COURT PREMISES",0.5 K.M TOWARDS WEST,TOWN BEAT 4,JUNIOR COLLEGE ROAD,1,0,0,0,0,0,1,0,0,0,0,0,2020000019,569,10451056920200015,-1
