District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Udupi,Karkala Rural PS,0012/2021,1,2021,1,2021-01-22 12:30:00.000,2021-01-22 14:00:00.000,2021-01-22 15:30:00.000,22/01/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.169186,74.873011,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",Janardhana K   (PSI),1234096,,121900016,"Near Belman Pete, Near Belman Pete",18 Km West,BEAT 6,Belman,0,0,0,0,0,0,1,1,0,1,1,1,2021000014,1221,10469122120210012,-1
Udupi,Udupi CEN Crime PS,0058/2019,1,2019,7,2019-07-11 11:45:00.000,2019-07-11 11:50:00.000,2019-07-11 12:50:00.000,11/07/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.343695,74.747633,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",ASHOK KUMAR   (PSI),1998253,,91900635,"Udupi City Bus Stand, Udupi City Bus Stand","North, 3 KM",Udupi 2nd Beat,Mudanidambur,0,0,0,0,0,0,2,2,0,2,2,2,2019000058,2156,10469215620190058,-1
Udupi,Gangolli PS,0117/2019,1,2019,11,2019-11-15 19:15:00.000,2019-11-15 19:20:00.000,2019-11-15 20:45:00.000,15/11/2019,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.657082,74.6661,"KARNATAKA POLICE ACT, 1963 U/s: 78(I),78(III) ",Girish G   (HC),1813358,,120200021,"Near Gangolli Water Tank, Near Gangolli Water Tank",About 6 KM Towards South,BEAT I,GANGOLLI KASABHA,0,0,0,0,0,0,2,2,0,2,2,0,2019000238,1217,10469121720190117,-1
Udupi,Udupi CEN Crime PS,0085/2019,1,2019,9,2019-09-11 11:45:00.000,2019-09-11 12:40:00.000,2019-09-11 13:30:00.000,11/09/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.341169,74.747019,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",SEETARAM.P   (PI),1898682,,103200022,"Near KSRTC Bus stand, Public place, Near KSRTC Bus stand, Public place",2 K.M,Udupi 2nd Beat,Mudanidambur,0,0,0,0,0,0,2,2,0,2,2,2,2019000085,2156,10469215620190085,-1
Udupi,Udupi CEN Crime PS,0027/2020,1,2020,3,2020-03-19 13:10:00.000,2020-03-19 13:15:00.000,2020-03-19 14:30:00.000,19/03/2020,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.594671,74.696046,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",LAKSHMAN   (PSI),997833,,119800008,"Public place, Near Kageri bus stand, Public place, Near Kageri bus stand",35 K.M,Kundapura PS Limits,Kumbhashi,0,0,0,0,0,0,1,1,0,1,1,1,2020000027,2156,10469215620200027,-1
Udupi,Gangolli PS,0116/2021,1,2021,12,2021-12-20 16:45:00.000,2021-12-20 16:50:00.000,2021-12-20 18:30:00.000,20/12/2021,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.75116,74.730013,"KARNATAKA POLICE (AMENDMENT) ACT, 2021 U/s: 78(1),78 (3) ",Vinay Mallikarjuna Korlahalli (PSI),2855658,,120100079,"Public Place, Near Fish Market, Public Place, Near Fish Market",8  K.M Towards North,BEAT III,HARKUR,0,0,0,0,0,0,1,0,0,0,1,0,2021000178,1217,10469121720210116,-1
Udupi,Kapu PS,0134/2023,1,2023,8,2023-08-14 15:20:00.000,2023-08-14 15:25:00.000,2023-08-14 16:35:00.000,14/08/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.230917,74.747636,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",Umesh N   (HC),1432019,,122100022,"Near KBB Vegirtable Shop Kaup Pete, Near KBB Vegirtable Shop Kaup Pete",Towards 200 Mtr South,Beat 1,Kaup padu village,0,0,0,0,0,0,1,1,0,1,1,0,2023000229,1202,10469120220230134,-1
Udupi,Malpe PS,0024/2023,1,2023,3,2023-03-15 15:45:00.000,2023-03-15 15:50:00.000,2023-03-15 17:00:00.000,15/03/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.398709,74.712506,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",GURUNATH B HADHIMANI   (PSI),2161161,,23600011,"NEAR  BAPUTHOTA BOAT KACHERI PUBLIC PLACE, NEAR  BAPUTHOTA BOAT KACHERI PUBLIC PLACE",2 km Towards South,1,KODAVOOR,0,0,0,0,0,0,1,1,0,1,1,1,2023000077,1198,10469119820230024,-1
Udupi,Shankaranarayana PS,0099/2019,1,2019,9,2019-09-22 13:00:00.000,2019-09-22 13:05:00.000,2019-09-22 14:15:00.000,22/09/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.66273,74.912683,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",Sudharshan   (PSI),1232681,,121600034,"NEAR SIDDAPURA MARKET, NEAR SIDDAPURA MARKET",TOWARDS 12 KM IN NORTH-WEST,BEAT 8,SIDDAPURA THREE WARD,0,0,0,0,0,0,1,1,0,1,1,1,2019000145,1219,10469121920190099,-1
Udupi,Kapu PS,0092/2023,1,2023,5,2023-05-27 15:30:00.000,2023-05-27 15:31:00.000,2023-05-27 16:30:00.000,27/05/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),13.230952,74.747646,"KARNATAKA POLICE ACT, 1963 U/s: 78(III),78(I) ",Shrishail D.  Muragod (PSI),2850147,,120600072,"NEAR KVK VEGITABLE SHOP KAUP, NEAR KVK VEGITABLE SHOP KAUP",500 MTR TOWARDS SOUTH,Beat 1,Kaup padu village,0,0,0,0,0,0,1,1,0,1,1,0,2023000163,1202,10469120220230092,-1
