District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Udupi,Manipal PS,0305/2023,1,2023,12,2023-12-02 20:30:00.000,2023-12-02 20:35:00.000,2023-12-05 11:30:00.000,05/12/2023,Non Heinous,Pending Trial,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.2118,74.4748,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",Sukumara Shetty   (HC),1432577,,121000025,"Public Place In Front Of  Vaibhav Complex, Public Place In Front Of  Vaibhav Complex",2 KM Towards North,BEAT 1,SHIVALLI,0,0,0,0,0,0,1,0,0,0,1,0,2023000423,1201,10469120120230305,-1
Udupi,Udupi CEN Crime PS,0118/2019,1,2019,10,2019-10-26 09:10:00.000,2019-10-26 09:15:00.000,2019-10-28 10:30:00.000,28/10/2019,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.350304,74.794556,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",MANJUNATHA   (PI),1374911,,100000052,"Public place, Near Ideal Residency, Public place, Near Ideal Residency",6 K.M,Manipala 1st Beat,Shivalli village,0,0,0,0,0,0,1,1,0,1,1,1,2019000118,2156,10469215620190118,0
Udupi,Kundapura PS,0047/2023,1,2023,4,2023-04-16 18:30:00.000,2023-04-16 18:35:00.000,2023-04-16 23:00:00.000,16/04/2023,Non Heinous,Pending Trial,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.650937,74.705591,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(B) ",ERAIAHA D N   (PSI),1744772,,139800024,"At Public Place, Near Pravasi Bar, At Public Place, Near Pravasi Bar",4 Km Towards North,Beat No 40,Talluru Village,0,0,0,0,0,0,1,0,0,0,1,0,2023000130,1216,10469121620230047,-1
Udupi,Udupi CEN Crime PS,0136/2019,1,2019,11,2019-11-10 10:00:00.000,2019-11-10 10:15:00.000,2019-11-13 17:30:00.000,13/11/2019,Non Heinous,Convicted,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.357224,74.785272,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",LAKSHMAN   (PSI),997833,,119800008,"Public place,greenwood apartment, Public place,greenwood apartment","5km,East",Manipala 1st Beat,Shivalli village,0,0,0,0,0,0,1,1,0,1,1,1,2019000136,2156,10469215620190136,0
Udupi,Manipal PS,0292/2023,1,2023,11,2023-11-20 23:59:00.000,2023-11-21 00:05:00.000,2023-11-23 15:30:00.000,23/11/2023,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.343683,74.778696,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",DEVARAJA.T.V   (PI),1898642,,33700009,"Public Palce Of Near Suvidha Apartment V P Nagar, Public Palce Of Near Suvidha Apartment V P Nagar",2 KM Towards South,BEAT 1,SHIVALLI,0,0,0,0,0,0,1,0,0,0,1,1,2023000407,1201,10469120120230292,0
Udupi,Karkala Town PS,0014/2020,1,2020,2,2020-02-22 10:00:00.000,2020-02-22 10:10:00.000,2020-02-22 19:00:00.000,22/02/2020,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.238416,74.994098,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",PRASANNA M.S.   (PSI),2840935,,137900107,"NEAR NITHYANANDA WOOD INDUSTRIES, NEAR NITHYANANDA WOOD INDUSTRIES",3 KM EAST,BEAT 1,KARKALA KASBA VILLAGE,0,0,0,0,0,0,1,0,0,0,1,1,2020000027,1224,10469122420200014,-1
Udupi,Kundapura PS,0061/2022,1,2022,6,2022-05-24 13:00:00.000,2022-06-15 13:00:00.000,2022-06-15 13:00:00.000,15/06/2022,Non Heinous,Pending Trial,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.636157,74.68948,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",SADASHIV R GAVAROJI   (PSI),2841375,,119700074,"Near New Bus stand Kundapura, Near New Bus stand Kundapura",100 mtr south direction,Beat No 1,Kasaba,0,0,0,0,0,0,1,0,0,0,1,0,2022000092,1216,10469121620220061,-1
Udupi,Udupi CEN Crime PS,0066/2019,1,2019,7,2019-07-27 15:25:00.000,2019-07-27 15:30:00.000,2019-07-27 18:30:00.000,27/07/2019,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.346094,74.737674,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",LAKSHMAN   (PSI),997833,,119800008,"Behind Sarathi Hotel, Public place, Behind Sarathi Hotel, Public place",2 K.M,Udupi 2nd Beat,Mudanidambur,0,0,0,0,0,0,1,1,0,1,1,1,2019000066,2156,10469215620190066,0
Udupi,Udupi CEN Crime PS,0152/2019,1,2019,12,2019-12-01 11:05:00.000,2019-12-01 11:10:00.000,2019-12-03 11:30:00.000,03/12/2019,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.339146,74.78977,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",Keshava Gowda   (ASI),1234068,,119700028,"Public place, Near M.M Tower, Dasharathanagar, Public place, Near M.M Tower, Dasharathanagar",5 K.M,Manipal 11 Beat,Eighty Badagabettu,0,0,0,0,0,0,1,1,0,1,1,1,2019000152,2156,10469215620190152,0
Udupi,Malpe PS,0079/2022,1,2022,9,2022-09-15 11:00:00.000,2022-09-15 11:05:00.000,2022-09-16 20:15:00.000,16/09/2022,Non Heinous,Pending Trial,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.408608,74.699993,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",SAKTHIVELU E.   (PSI),2191959,,142600111,"INFRONT OF URDU SCHOOL HOODE, INFRONT OF URDU SCHOOL HOODE",TOWARDS 8 KM NORTH,2,PADUTHONSE,0,0,0,0,0,0,1,1,0,1,1,0,2022000148,1198,10469119820220079,0
Udupi,Udupi CEN Crime PS,0057/2023,1,2023,4,2023-04-03 12:00:00.000,2023-04-03 12:05:00.000,2023-04-05 11:45:00.000,05/04/2023,Non Heinous,Convicted,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.347769,74.77114,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",ASHOK KUMAR   (PSI),1998253,,91900635,"Public Place of Near Panchyajanya Residence, Public Place of Near Panchyajanya Residence",7 Km East,Manipala 1st Beat,Shivalli village,0,0,0,0,0,0,1,0,0,0,1,1,2023000057,2156,10469215620230057,0
Udupi,Brahmavar PS,0177/2019,1,2019,10,2019-10-15 10:15:00.000,2019-10-15 10:20:00.000,2019-10-16 09:40:00.000,16/10/2019,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.440684,74.742105,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",Shantharaj  B.K. (ASI),1235479,,190200002,"Near Brahmavara Gandhi Maidan, Near Brahmavara Gandhi Maidan",About 0.5 Km Towards North,BEAT 1,Chantharu,0,0,0,0,0,0,1,0,0,0,1,1,2019000311,1208,10469120820190177,0
Udupi,Udupi CEN Crime PS,0131/2023,1,2023,9,2023-09-20 16:00:00.000,2023-09-20 16:45:00.000,2023-09-22 17:45:00.000,22/09/2023,Non Heinous,Pending Trial,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.353137,74.782152,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",ASHOK KUMAR   (PSI),1998253,,91900635,"Public Place Near Tre-Tre Hotel, Public Place Near Tre-Tre Hotel",7 Km North East,Manipala 1st Beat,Shivalli village,0,0,0,0,0,0,1,0,0,0,1,0,2023000131,2156,10469215620230131,0
Udupi,Udupi CEN Crime PS,0019/2024,1,2024,3,2024-03-07 10:30:00.000,2024-03-07 10:35:00.000,2024-03-07 16:15:00.000,07/03/2024,Non Heinous,Under Investigation,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.384966,74.738252,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",PAVAN NAYAK   (PSI),2636941,,103800527,"Public Place Santhekatte Bus Stop, Public Place Santhekatte Bus Stop",5 Km North,Udupi 2nd Beat,Mudanidambur,0,0,0,0,0,0,1,0,0,0,0,0,2024000019,2156,10469215620240019,0
Udupi,Udupi Town PS,0107/2019,1,2019,8,2019-08-08 12:30:00.000,2019-08-08 13:30:00.000,2019-08-08 17:00:00.000,08/08/2019,Non Heinous,Convicted,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.319839,74.741405,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",Vasappa Naik   (PSI),532328.0,,122500009,"NEAR WEGUS LAYOUT, NEAR WEGUS LAYOUT",2 KM SOUTH,BEAT 1,BADAGUBETTU,0,0,0,0,0,0,1,1,0,1,1,1,2019000249,1197,10469119720190107,0
Udupi,Udupi CEN Crime PS,0134/2019,1,2019,11,2019-11-09 11:15:00.000,2019-11-09 11:30:00.000,2019-11-13 16:30:00.000,13/11/2019,Non Heinous,Convicted,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.347705,74.784861,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",Keshava Gowda   (ASI),1234068,,119700028,"Public Place, Near Syndicate Circle, Public Place, Near Syndicate Circle","5 KM, EAST",Manipala 1st Beat,Shivalli village,0,0,0,0,0,0,1,1,0,1,1,1,2019000134,2156,10469215620190134,0
