District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Uttara Kannada,Sirsi Rural PS,0031/2019,1,2019,3,2019-03-02 17:00:00.000,2019-03-02 17:01:00.000,2019-03-02 19:30:00.000,02/03/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.715312,74.704865,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",YASHODA HANUMANTH GUDEANGADI  (PSI),1331030,,94000096,"NEAR MARIKAMBA HOTEL, RAGIHOSALLI SIRSI KUMTA ROAD, NEAR MARIKAMBA HOTEL, RAGIHOSALLI SIRSI KUMTA ROAD",TOWARDS WSET 30 KM,PS AMMINALLI OP RURAL BEAT 1,JANMANE,0,0,0,0,0,0,2,2,0,2,2,2,2019000062,941,10460094120190031,-1
Uttara Kannada,Joida PS,0015/2021,1,2021,3,2021-03-18 13:35:00.000,2021-03-18 13:36:00.000,2021-03-18 15:00:00.000,18/03/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),15.169534,74.484019,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",KASTURI SIDALINGA KUKANUR (WPSI),3180263,,91900799,"Near Hanuman Temple, Janata Colony, Near Hanuman Temple, Janata Colony",01 Kms towards south from PS,TOWN BEAT  1,JOIDA,0,0,0,0,0,0,1,1,0,1,1,1,2021000024,1370,10460137020210015,3
Uttara Kannada,Siddapura PS,0014/2020,1,2020,1,2020-01-20 15:35:00.000,2020-01-20 15:36:00.000,2020-01-21 11:00:00.000,21/01/2020,Non Heinous,Dis/Acq,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.341792,74.893685,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",M G KUMBAR   (PSI),2370804,,188800019,"BHAGATHASINGH CIRCLE, BHAGATHASINGH CIRCLE",TOWARDS 500mts NORTH,TOWN BEAT2,RAJMARG,0,0,0,0,0,0,2,0,0,0,2,0,2020000020,1678,10460167820200014,-1
Uttara Kannada,Bhatkal Rural PS,0100/2019,1,2019,9,2019-09-26 11:45:00.000,2019-09-26 11:46:00.000,2019-09-26 13:30:00.000,26/09/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.013451,74.604044,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",BHARTKUMAR V   (PSI),2850175.0,,103800526,"Near Marukeri Gram Panchayat, Near Marukeri Gram Panchayat",9 KM Towards East,Rural Beat 4,HADEEL,0,0,0,0,0,0,1,1,0,1,1,1,2019000185,950,10460095020190100,0
Uttara Kannada,Karwar Rural PS,0022/2021,1,2021,4,2021-04-15 17:00:00.000,2021-04-15 17:01:00.000,2021-04-15 18:30:00.000,15/04/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.825355,74.182023,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",VIDYA OMU NAIK (ASI),900634058,,167400049,"PUBLIC PLACE, HALKOTE, KADWAD, PUBLIC PLACE, HALKOTE, KADWAD",TOWARDS EAST 8 KM,BEAT 30,HALEKOTE,0,0,0,0,0,0,1,1,0,1,1,1,2021000029,927,10460092720210022,1
Uttara Kannada,Siddapura PS,0022/2021,1,2021,2,2021-02-10 18:00:00.000,2021-02-10 18:01:00.000,2021-02-11 10:00:00.000,11/02/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.340887,74.901622,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",M.G.NAIK   (ASI),1196718,,167700006,"BHAGATH SINGH CIRCLE, BHAGATH SINGH CIRCLE",TOWARDS SOUTH 500 MTR,TOWN BEAT2,RAJMARG,0,0,0,0,0,0,2,0,0,0,2,2,2021000033,1678,10460167820210022,-1
Uttara Kannada,Gokarna PS,0036/2021,1,2021,4,2021-04-19 11:10:00.000,2021-04-19 11:11:00.000,2021-04-19 17:45:00.000,19/04/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.523481,74.354828,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",SUNIL PERU KUDTALKAR KUDTALKAR  (ASI),1467372.0,,168000002,"PUBLIC PLACE OPPOSITE PAN BEEDA SHOP,BEHIND TADADI, PUBLIC PLACE OPPOSITE PAN BEEDA SHOP,BEHIND TADADI",TOWARDS EAST 6 K.M.,BEAT 31,TADADI,0,0,0,0,0,0,1,1,0,1,1,0,2021000047,954,10460095420210036,-1
Uttara Kannada,Dandeli Town PS,0048/2023,1,2023,5,2023-05-26 15:10:00.000,2023-05-26 15:12:00.000,2023-05-26 19:10:00.000,26/05/2023,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),15.246865,74.629819,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",I R GUDDEKAR   (PSI),2850149.0,,120200082,"3 No Gate Haliyal road, 3 No Gate Haliyal road",3 K.M Towards,49 Maruthi Temple Haliyal Road,Maruthi Temple Haliyal Road,0,0,0,0,0,0,1,0,0,0,1,1,2023000070,931,10460093120230048,3
Uttara Kannada,Chittakula PS,0031/2023,1,2023,7,2023-07-03 13:30:00.000,2023-07-03 13:31:00.000,2023-07-03 20:30:00.000,03/07/2023,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.5136,74.757,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",PULAN D. KALGUTKAR   (WHC),900633907.0,,92300016,"INFRONT OF GANAPATI TEMPLE SADASHIVGAD PUBLIC ROAD, INFRONT OF GANAPATI TEMPLE SADASHIVGAD PUBLIC ROAD",1K.M. TOWARDS NORTH,Beat 1,Seabird colony,0,0,0,0,0,0,1,0,0,0,1,1,2023000068,922,10460092220230031,-1
Uttara Kannada,Murudeshwar PS,0080/2021,1,2021,8,2021-08-31 18:50:00.000,2021-08-31 18:55:00.000,2021-08-31 20:25:00.000,31/08/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.04825,74.50985,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",V G GUNAGA   (ASI),529934,,168100023,"Public Place Yakshimane Bengre-1, Public Place Yakshimane Bengre-1",10 Kms Towards South,RURAL BEAT 1,KAIKINI,0,0,0,0,0,0,1,1,0,1,1,1,2021000104,951,10460095120210080,0
