District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Vijayapur,Adarsh Nagar PS,0148/2023,1,2023,12,2023-12-17 23:30:00.000,2023-12-18 01:00:00.000,2023-12-30 11:30:00.000,30/12/2023,Non Heinous,Under Investigation,Written,THEFT,Of Automobiles - Of Two Wheelers,16.847027,75.712577,IPC 1860 U/s: 379 ,JYOTI VALIKAR   (PSI),2693056.0,,148300048,"ON THE ROAD SIDE INFRONT OF COMPLAINANT HOUSE, ON THE ROAD SIDE INFRONT OF COMPLAINANT HOUSE",TOWARDS EAST 1.0 KM,BEAT NO 1,RAJENDAR NAGAR,1,0,0,0,0,0,0,0,0,0,0,0,2023000280,1497,10447149720230148,0
Vijayapur,Basavan Bagewadi PS,0244/2019,1,2019,12,2019-11-25 02:30:00.000,2019-11-25 02:31:00.000,2019-12-23 12:30:00.000,23/12/2019,Non Heinous,Undetected,Others,THEFT,Of Automobiles - Of Two Wheelers,16.571956,75.977497,IPC 1860 U/s: 379 ,CHANDRASHEKAR   (PSI),2481355,,8000076,"In B Bagewadi Town Infrant Of Bustand, In B Bagewadi Town Infrant Of Bustand",East 1.5 km,1,SAVAL HALL LT,0,0,0,0,0,0,0,0,0,0,0,0,2019000344,429,10447042920190244,-1
Vijayapur,Basavan Bagewadi PS,0214/2020,1,2020,10,2020-09-10 11:00:00.000,2020-09-10 11:01:00.000,2020-10-18 15:00:00.000,18/10/2020,Non Heinous,Compounded,Written,THEFT,Of Automobiles - Of Two Wheelers,16.571875,75.977597,IPC 1860 U/s: 379 ,CHANDRASHEKAR   (PSI),2481355,,8000076,"In B Bagewadi Bus Stand, In B Bagewadi Bus Stand",East 1.5 KM,1,SAVAL HALL LT,1,0,0,0,0,0,0,2,0,2,2,0,2020000281,429,10447042920200214,-1
Vijayapur,Muddebihal PS,0131/2021,1,2021,8,2021-05-10 22:00:00.000,2021-05-11 06:00:00.000,2021-08-10 20:15:00.000,10/08/2021,Non Heinous,Compounded,Written,THEFT,Of Automobiles - Of Two Wheelers,16.349877,76.122595,IPC 1860 U/s: 379 ,A B TAKKALKI   (ASI),1267671,,43300009,"In Front Off Complainant Home Maruti Nagar, In Front Off Complainant Home Maruti Nagar",South 01 KM From PS,TOWN BEAT,MBL MARUTI NAGR,1,0,0,0,0,0,1,1,0,1,1,0,2021000176,433,10447043320210131,-1
Vijayapur,Babaleshwar PS,0160/2022,1,2022,11,2022-10-10 18:00:00.000,2022-10-10 20:00:00.000,2022-11-05 10:30:00.000,05/11/2022,Non Heinous,Pending Trial,Others,THEFT,Of Automobiles - Of Two Wheelers,16.667317,75.580783,IPC 1860 U/s: 379 ,G.I.BYAKOD   (HC),1809370,,42100048,"Infront of PKPS near Shantaveer circle, Infront of PKPS near Shantaveer circle",0.5 km from station to north,NO 1,BABALESHWAR,0,0,0,0,0,0,1,0,0,0,1,0,2022000250,416,10447041620220160,-1
Vijayapur,Golgumbaz PS,0162/2021,1,2021,11,2021-10-22 22:00:00.000,2021-10-23 06:00:00.000,2021-11-20 12:00:00.000,20/11/2021,Non Heinous,Undetected,Written,THEFT,Of Automobiles - Of Two Wheelers,16.817418,75.722547,IPC 1860 U/s: 379 ,SITARAM   (PSI),19054340,,6200115,"Near Managuli Agasi, Near Managuli Agasi",Towards 2 KM South to PS,BEAT 3,PULAKESHI NAGAR,1,0,0,0,0,0,0,0,0,0,0,0,2021000233,1495,10447149520210162,0
Vijayapur,Golgumbaz PS,0133/2020,1,2020,9,2020-08-11 11:30:00.000,2020-08-11 15:30:00.000,2020-09-22 16:30:00.000,22/09/2020,Non Heinous,Pending Trial,Written,THEFT,Of Automobiles - Of Two Wheelers,16.824549,75.7181,"IPC 1860 U/s: 379,411 ",SITARAM   (PSI),19054340,,6200115,"Opp-Taluq Panchayat, Opp-Taluq Panchayat",Towerd 2 KM West In PS,BEAT 3,PULAKESHI NAGAR,1,0,0,0,0,0,3,0,0,0,3,0,2020000178,1495,10447149520200133,0
Vijayapur,Gandhi Chowk PS,0204/2023,1,2023,11,2023-11-12 10:00:00.000,2023-11-12 11:30:00.000,2023-11-21 21:00:00.000,21/11/2023,Non Heinous,Under Investigation,Others,THEFT,Of Automobiles - Of Two Wheelers,16.83034,75.71332,IPC 1860 U/s: 379 ,DAFEDAR I S   (PSI),1419916,,41100029,"VIJAYAPUR VITHAL MANDIR ROAD, VIJAYAPUR VITHAL MANDIR ROAD",NORTH 0.5 KM,beat no 2,SARAF MARKET,1,0,0,0,0,0,0,0,0,0,0,0,2023000465,411,10447041120230204,0
Vijayapur,APMC PS,0071/2023,1,2023,10,2023-09-25 22:00:00.000,2023-09-26 06:00:00.000,2023-10-05 12:30:00.000,05/10/2023,Non Heinous,Under Investigation,Others,THEFT,Of Automobiles - Of Two Wheelers,16.840611,75.716516,IPC 1860 U/s: 379 ,A M KOLI   (WHC),142098.0,,41700053,"R/O MUDANOOR HOSPTAL FRONT PUBLIC PLASE, R/O MUDANOOR HOSPTAL FRONT PUBLIC PLASE",TOWORDS NORTH 2.0 KM FROM PS,3,DHANA LAKXMI NAGAR,1,0,0,0,0,0,0,0,0,0,0,0,2023000175,1496,10447149620230071,0
Vijayapur,Jalanagar PS,0019/2021,1,2021,4,2021-03-03 10:00:00.000,2021-04-25 07:00:00.000,2021-04-25 10:00:00.000,25/04/2021,Non Heinous,False Case,Others,THEFT,Of Automobiles - Of Two Wheelers,16.808707,75.716558,IPC 1860 U/s: 379 ,Mallikarjun Talawar   (PSI),3034260,,200800046,"RAGHU THANGASALI  HOUSE, RAGHU THANGASALI  HOUSE",1 KM,BEAT NO 2,RTO OFFICE,0,1,0,0,0,0,0,0,0,0,0,0,2021000025,2008,10447200820210019,0
