District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Yadgir,Yadgiri Town PS,0001/2020,1,2020,1,2020-01-02 11:15:00.000,2020-01-02 11:20:00.000,2020-01-02 11:45:00.000,02/01/2020,Non Heinous,Pending Trial,Written,THEFT,Of Sand,16.776646,77.116119,IPC 1860 U/s: 379 ,Chandrashekhar   (PSI),2767821,,159800008,"YADGIR TOWN Near mudanal cross yadagir, YADGIR TOWN Near mudanal cross yadagir",Tow wards weast 5 km from ps,BEAT 5,MADANAPUR GALLI,0,0,0,0,0,0,1,1,0,1,1,0,2020000001,1589,10978158920200001,-1
Yadgir,Wadigere PS,0135/2020,1,2020,12,2020-12-06 13:30:00.000,2020-12-06 13:35:00.000,2020-12-06 16:00:00.000,06/12/2020,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Of Sand,16.666121,77.131731,IPC 1860 U/s: 379 ,GANGADHAR   (ASI),1221766,,158900053,"Gaddesuguru villege Bhima river, Gaddesuguru villege Bhima river",At 15 km North from ps,BEAT 2,GURUSUNAGI,1,0,0,0,0,0,0,0,0,0,2,2,2020000159,1596,10978159620200135,-1
Yadgir,Gurumitkal PS,0012/2019,1,2019,1,2019-01-20 04:00:00.000,2019-01-20 05:00:00.000,2019-01-20 05:40:00.000,20/01/2019,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Of Sand,16.770182,77.377594,IPC 1860 U/s: 379 ,Rajendra   (ASI),1229332,,158900198,"Parameshpalli Gate, Parameshpalli Gate",18 KM towards South,BEAT 03,BORABANDA VILLEGE,0,0,0,0,0,0,4,4,0,4,4,0,2019000013,691,10978069120190012,-1
Yadgir,Gurumitkal PS,0015/2019,1,2019,1,2019-01-22 05:00:00.000,2019-01-22 06:00:00.000,2019-01-22 06:40:00.000,22/01/2019,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Of Sand,16.769351,77.296912,IPC 1860 U/s: 379 ,Bheemappa   (ASI),1223971,,158900239,"Paspul gate at Paspul Village Limits, Paspul gate at Paspul Village Limits",24 KM Toward West,BEAT 06,CHINTANHALLI VILLAGE,0,0,0,0,0,0,3,2,0,2,3,0,2019000016,691,10978069120190015,-1
Yadgir,Yadgiri Rural PS,0073/2019,1,2019,5,2019-05-11 06:45:00.000,2019-05-11 06:50:00.000,2019-05-11 08:15:00.000,11/05/2019,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Of Sand,16.779432,77.176953,IPC 1860 U/s: 379 ,Baburav   (PSI),1221741,,158900030,"MUNDARAGI VILLAGE AREA, MUNDARAGI VILLAGE AREA",10 KM TOWARDS EAST FROM PS,BEAT 4,ASHANAL,0,0,0,0,0,0,2,2,0,2,2,0,2019000100,1590,10978159020190073,-1
Yadgir,Wadigere PS,0014/2019,1,2019,2,2019-02-04 19:00:00.000,2019-02-04 19:05:00.000,2019-02-04 23:30:00.000,04/02/2019,Non Heinous,Pending Trial,Written,THEFT,Of Sand,16.563575,76.9910349,IPC 1860 U/s: 379 ,GANGADHAR   (ASI),1221766,,158900053,"In Land Sy No 486 Ikur village limits, In Land Sy No 486 Ikur village limits",At 30 km west from the ps,BEAT 7,CHENNUR,0,0,0,0,0,0,0,0,0,0,1,0,2019000022,1596,10978159620190014,-1
Yadgir,Wadigere PS,0001/2020,1,2020,1,2020-01-02 09:30:00.000,2020-01-02 09:35:00.000,2020-01-02 11:00:00.000,02/01/2020,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Of Sand,16.561308,77.03261,IPC 1860 U/s: 379 ,BASHUMIYA   (PSI),2764960,,147600047,", ",10 km west,BEAT 7,CHENNUR,0,0,0,0,0,0,0,2,0,2,2,0,2020000001,1596,10978159620200001,-1
Yadgir,Wadigere PS,0007/2019,1,2019,1,2019-01-22 01:30:00.000,2019-01-22 01:35:00.000,2019-01-22 07:30:00.000,22/01/2019,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Of Sand,16.671155,77.115264,IPC 1860 U/s: 379 ,BASHUMIYA   (PSI),2764960,,147600047,"Near Gaddesuguru cross, Near Gaddesuguru cross",At 12 km North from the ps,BEAT 2,GURUSUNAGI,1,0,0,0,0,0,0,0,0,0,1,1,2019000010,1596,10978159620190007,-1
Yadgir,Yadgiri Rural PS,0092/2021,1,2021,6,2021-06-22 04:15:00.000,2021-06-22 05:15:00.000,2021-06-22 06:00:00.000,22/06/2021,Non Heinous,Pending Trial,Written,THEFT,Of Sand,16.837512,77.14883,IPC 1860 U/s: 379 ,RAJKUMAR   (PSI),2281401,,71800050,"Yaddalli Village, Yaddalli Village",10 KM Towards North,BEAT 5,BANDALLI,0,0,0,0,0,0,1,0,0,0,1,0,2021000118,1590,10978159020210092,-1
Yadgir,Yadgiri Town PS,0044/2019,1,2019,5,2019-05-03 06:10:00.000,2019-05-03 06:11:00.000,2019-05-03 06:30:00.000,03/05/2019,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Of Sand,16.770429,77.135387,IPC 1860 U/s: 379 ,Chandrashekhar   (PSI),2767821.0,,159800008,"Near Hattikuni cross, Near Hattikuni cross",1/2 Km towards west from ps,BEAT 1,Muslimpur,0,0,0,0,0,0,1,1,0,1,1,0,2019000157,1589,10978158920190044,-1
